element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
H,-0.41311049461364746,-0.5655762553215027,0.20776307582855225,0.4233490526676178,-0.41355395317077637,0.9465735554695129,-0.3111867308616638,-0.0936611145734787,-0.06475532054901123,-0.8355274200439453,-0.26497143507003784,0.03413311764597893,0.04118894785642624,-0.28777483105659485,0.31474146246910095,-0.3967447280883789,0.02446320652961731,0.5120795965194702,-0.1154327392578125,0.7182952761650085,0.08096162974834442,0.5950531959533691,-0.1806417852640152,0.4267861843109131,1.0257092714309692,0.21353933215141296,-0.10949687659740448,0.04582531005144119,0.1555522233247757,0.03191867098212242,-0.0696607157588005,-0.17016147077083588,0.24051782488822937,0.42956629395484924,0.2540522813796997,-0.0739041268825531,-0.20013442635536194,0.43463465571403503,-0.2806857228279114,-0.47056588530540466,-0.3690265715122223,0.16006889939308167,-1.315237283706665,0.08576306700706482,-0.7306753396987915,0.7492992877960205,-0.48006749153137207,-0.07884033024311066,-0.19458281993865967,0.4659438729286194,-0.11810959875583649,0.4781688153743744,-0.15697531402111053,0.13165965676307678,-0.07204682379961014,0.9248000383377075,-0.6970152854919434,-0.1949182003736496,0.4026793837547302,0.3912452757358551,0.09118084609508514,0.022889239713549614,0.3054719567298889,0.2052902728319168,0.252309650182724,0.08977341651916504,-0.365078866481781,-0.2000747174024582,-0.027671774849295616,-0.9457775354385376,0.3808485269546509,0.04100356623530388,0.22246187925338745,0.2828053832054138,-0.07143647968769073,-0.3046971559524536,-0.3043175935745239,-0.47213858366012573,-0.36962056159973145,-0.08242835104465485,0.03711722046136856,-0.039251528680324554,0.06881619244813919,-0.6086491346359253,-0.27986133098602295,0.10316701978445053,-0.1424415111541748,-0.21528778970241547,0.3298046886920929,0.2864803969860077,0.15722320973873138,0.3843245208263397,-0.11636058986186981,-0.12236826866865158,0.3461703062057495,0.00037685781717300415,0.1680147349834442,0.1801314353942871,-0.48958468437194824,-0.17835970222949982
Li,0.403206467628479,-0.4165213406085968,0.01288332138210535,0.5815712213516235,0.08845603466033936,0.28437697887420654,-0.029163740575313568,-0.04561208561062813,0.0033033788204193115,0.42730477452278137,-0.08079688996076584,0.1758843958377838,0.29155486822128296,-0.24989011883735657,-0.06736984848976135,0.3978177309036255,-0.1743658483028412,0.2407132387161255,0.43737107515335083,0.04672543704509735,0.32730042934417725,0.34548455476760864,-0.02049621194601059,-0.12610195577144623,0.585525393486023,0.031657252460718155,-0.11138327419757843,0.5229130983352661,-0.2729657292366028,-0.5702577829360962,-0.15072399377822876,-0.40803369879722595,0.030450770631432533,-0.5906849503517151,-0.34643417596817017,-0.1506984680891037,-0.8413143754005432,0.8433957695960999,-0.10312474519014359,-0.2673400640487671,0.818516731262207,-0.06093541160225868,-0.24884898960590363,-0.6194130778312683,-1.2064131498336792,-0.05566912889480591,-0.05580498278141022,0.09236283600330353,-0.2000497281551361,0.3348039388656616,-0.18974313139915466,0.5454763174057007,-0.3743615746498108,-1.0299876928329468,-0.10637681186199188,0.231987863779068,-0.2506943643093109,-0.3718540668487549,0.38759568333625793,-0.41401195526123047,-0.0609029084444046,-0.0521550178527832,-0.5445948839187622,-0.4340360760688782,-0.19122013449668884,0.21640336513519287,-0.0404803641140461,-0.49172472953796387,0.11395719647407532,0.010891888290643692,0.4255234897136688,0.43823128938674927,-0.05931895226240158,0.18329522013664246,-0.25066375732421875,-0.18946035206317902,-0.5652569532394409,-0.3459591865539551,0.029176361858844757,0.19997644424438477,-0.17021150887012482,-0.04281078279018402,0.04504585266113281,-0.20150598883628845,0.4635993540287018,0.09177599102258682,-0.5126508474349976,-0.048173412680625916,0.26066386699676514,0.06444282829761505,-0.3119243383407593,0.19751319289207458,0.6021497845649719,-0.04901183024048805,0.0679675042629242,0.14484085142612457,0.31580716371536255,-0.2116651087999344,-0.324199378490448,-0.5083473920822144
Be,0.07896602153778076,-0.12015421688556671,0.12717410922050476,-0.05389833450317383,0.12401361763477325,0.9774914383888245,0.20710226893424988,-0.1500725895166397,0.13452817499637604,-0.3065864145755768,-0.4397768974304199,0.1224922388792038,0.43521419167518616,-6.922706961631775e-05,-0.01369660347700119,-0.09155361354351044,-0.4181850552558899,0.46129101514816284,0.14803984761238098,0.08952286094427109,-0.4329736828804016,0.4916720390319824,0.12187355756759644,0.5463492274284363,0.764634370803833,0.33869296312332153,0.1290476769208908,0.4837815761566162,0.016185998916625977,0.13141533732414246,0.36175644397735596,-0.3879392147064209,0.3995751440525055,0.29939916729927063,-0.49546703696250916,0.7769797444343567,-0.6370003819465637,1.0628236532211304,0.11162036657333374,-0.05939292907714844,-0.13139399886131287,-0.2288418561220169,-0.08394968509674072,-0.37437909841537476,-1.0398540496826172,1.3542300462722778,-0.12273436784744263,-0.2875112295150757,-0.29356712102890015,0.0777030885219574,-0.14743861556053162,-0.201955646276474,0.3385162651538849,-0.08963670581579208,-0.0013373421970754862,-0.15750932693481445,0.3212507963180542,0.03573354333639145,-0.3996860384941101,0.2521646022796631,0.3823782503604889,0.03169795870780945,-0.21593067049980164,0.47750890254974365,0.5194904208183289,-0.10317450761795044,-0.17827217280864716,-0.8005710244178772,-0.05751851201057434,-0.365500807762146,0.31015893816947937,0.05803781747817993,0.3220479488372803,0.11134853959083557,-1.0780000686645508,-0.07163149863481522,-0.7240030169487,-0.32496339082717896,0.31230640411376953,0.5051275491714478,-0.07750984281301498,-0.18355251848697662,-0.14940503239631653,-0.41897669434547424,0.08746825158596039,-0.024320995435118675,0.2995549738407135,0.06906653940677643,-0.6582484841346741,-0.204497292637825,-0.058814048767089844,-0.09026879817247391,0.385037899017334,0.0771988108754158,0.9700761437416077,-0.3842736482620239,0.9876435399055481,0.003242230275645852,-0.19986461102962494,-0.09195718169212341
B,0.5512825846672058,-0.16237397491931915,-0.009085725992918015,0.3462717533111572,-0.4278072714805603,0.18619601428508759,-0.19832421839237213,-0.15483391284942627,-0.14679455757141113,-0.8834571242332458,-0.47885939478874207,-0.3815966248512268,0.9784217476844788,-0.07348711043596268,0.2837737798690796,-0.2565068006515503,0.15784066915512085,0.10443784296512604,-0.4778229892253876,0.38762280344963074,-0.5104362368583679,0.5316193699836731,0.19731201231479645,-0.3566272556781769,-0.24731771647930145,0.7251203060150146,-0.0865413099527359,-0.0028518643230199814,0.16231146454811096,-0.19188670814037323,-0.09056659787893295,-0.25902801752090454,-0.26618272066116333,0.3959500193595886,-0.4802926480770111,0.1823836863040924,-0.08507540076971054,-0.13522565364837646,-0.041394464671611786,-0.33129170536994934,0.2345171868801117,0.027756011113524437,-0.3695913255214691,-0.010321401059627533,-0.5750937461853027,0.6249480843544006,-0.7575109601020813,0.26446089148521423,-0.1517440527677536,0.07346710562705994,0.2991501986980438,0.1830420196056366,0.47795480489730835,-0.0734059140086174,0.23156346380710602,0.7497342824935913,-0.612294614315033,0.015641316771507263,-0.24071982502937317,-0.021017320454120636,-0.017969459295272827,-0.14007726311683655,-0.29531386494636536,0.023263024166226387,0.0031498372554779053,0.3051242530345917,-0.18896199762821198,-0.0132383331656456,-0.31610241532325745,-0.5998629927635193,0.3115411400794983,0.2009158730506897,0.23019155859947205,0.2591002881526947,-0.34634777903556824,0.21907630562782288,-0.041796743869781494,-0.12511542439460754,-0.041078172624111176,0.4453720450401306,0.19996017217636108,-0.4362572431564331,0.3418378233909607,-0.33281606435775757,-0.4711143672466278,0.4663984775543213,1.2583097219467163,-0.4288034737110138,-0.5094988942146301,-0.044208891689777374,0.10284760594367981,0.19223450124263763,-0.3323483467102051,-0.18282346427440643,0.38087135553359985,0.10830958187580109,0.10674349218606949,0.19007742404937744,0.22830331325531006,0.018870219588279724
C,-0.260928213596344,-0.374381422996521,0.10592649132013321,0.6508159637451172,-0.1884232461452484,0.2124914973974228,-0.40972214937210083,0.12339536100625992,-0.005014871712774038,0.23315025866031647,-0.8669291138648987,0.3306354880332947,0.22408446669578552,0.04110224172472954,0.2428339719772339,0.0025123879313468933,0.16156470775604248,0.4835672676563263,-0.3583521246910095,-0.014250952750444412,-0.3505927324295044,0.2297557145357132,0.10860458016395569,-0.2938805818557739,0.11692718416452408,0.5446086525917053,-0.09806165099143982,-0.12762215733528137,0.23483619093894958,0.019850611686706543,-0.11431796848773956,-0.17348486185073853,-0.09537665545940399,0.02432285249233246,-0.30729037523269653,0.06176278740167618,0.38290828466415405,0.07793719321489334,0.1867554634809494,-0.3962779939174652,-0.18593144416809082,-0.07524643838405609,-0.814282238483429,0.5306029319763184,-0.21412909030914307,0.3451652228832245,-0.36850807070732117,0.2872297763824463,-0.18942230939865112,0.5684229135513306,0.40724819898605347,0.24391429126262665,0.1861688196659088,-0.09757526218891144,-0.38989290595054626,0.2158905565738678,0.3076557219028473,-0.08341437578201294,-0.25867652893066406,0.2447541207075119,0.37832948565483093,-0.09005899727344513,-0.282964289188385,-0.08647159487009048,-0.04338645190000534,0.243646040558815,0.25912001729011536,0.24683144688606262,-0.22950752079486847,0.025409385561943054,0.5627565979957581,0.11527052521705627,-0.4322853982448578,0.2823249101638794,-0.4803697466850281,0.04001215845346451,0.16618886590003967,-0.11693718284368515,0.2355733960866928,-0.19985173642635345,-0.11900680512189865,-0.46797898411750793,-0.02585582435131073,-0.012323489412665367,-0.4870050549507141,0.13652744889259338,0.4181841015815735,-0.6200461983680725,-0.2722180485725403,-0.4018671214580536,0.40383291244506836,0.6166650652885437,-0.6704107522964478,-0.09977097064256668,0.2986958622932434,0.058922089636325836,-0.13903358578681946,-0.11087224632501602,0.21204639971256256,-0.2011093944311142
N,-0.33868011832237244,-0.03392958641052246,0.05591301620006561,0.47081127762794495,0.1873665153980255,0.47308334708213806,0.010343004018068314,0.14839400351047516,0.10409236699342728,0.2191922664642334,-0.2568801939487457,0.07084223628044128,-0.41337740421295166,0.019797200337052345,0.2823539972305298,-0.10012978315353394,-0.07506267726421356,0.24264363944530487,-0.3804800510406494,-0.029931565746665,-0.17436128854751587,-0.014608096331357956,-0.1012544110417366,-0.23808929324150085,-0.3353773057460785,0.19854213297367096,-0.07638011872768402,-0.2880161702632904,-0.05017813295125961,0.29890158772468567,0.3357245624065399,-0.3151572048664093,0.09001228958368301,0.42284730076789856,0.15060077607631683,0.11145129799842834,0.023984016850590706,0.18947231769561768,0.05807363986968994,-0.33063316345214844,-0.3415830135345459,0.5658338069915771,-0.3539992868900299,0.13785907626152039,-0.24144260585308075,-0.16890810430049896,0.44214391708374023,-0.2536736726760864,-0.11830145120620728,0.4488303065299988,0.36355239152908325,-0.20653334259986877,0.1100236177444458,-0.28694358468055725,0.36393338441848755,0.1623741090297699,0.05484076589345932,0.3209068775177002,0.27246782183647156,0.30190524458885193,0.139273002743721,-0.05711381882429123,-0.3828325569629669,-0.35304468870162964,0.10629715025424957,-0.10585152357816696,0.06959118694067001,0.14744435250759125,-0.10998587310314178,-0.25067752599716187,0.39309045672416687,-0.00913766585290432,-0.02343684993684292,0.2828335165977478,-0.26345986127853394,0.16225895285606384,-0.2745441198348999,-0.09355548024177551,0.07977859675884247,-0.5696678161621094,0.14933493733406067,-0.14174389839172363,-0.3270767331123352,0.07711297273635864,-0.520680844783783,0.045905400067567825,-0.1689070761203766,0.1401897817850113,0.033684127032756805,-0.08925900608301163,0.006895166821777821,0.30017316341400146,-0.42110127210617065,-0.1476006954908371,0.057469043880701065,-0.07285333424806595,-0.18025721609592438,0.26263678073883057,0.17323258519172668,-0.2285097986459732
O,-0.06953561305999756,0.024380099028348923,0.08578775078058243,0.13590583205223083,-0.006832286715507507,0.1653980314731598,0.08235929906368256,-0.008255314081907272,-0.17384687066078186,0.11913057416677475,0.21066653728485107,0.011964526027441025,-0.7455935478210449,-0.043013688176870346,0.44830286502838135,0.056867342442274094,0.40202346444129944,0.066644087433815,-0.5159083008766174,-0.023832853883504868,-0.19125202298164368,-0.3125869035720825,-0.05485782399773598,-0.15163272619247437,-0.8358826041221619,-0.007624022662639618,-0.08071304112672806,-0.245195671916008,-0.22980910539627075,0.2520926594734192,0.3246273100376129,0.013680115342140198,0.08928903937339783,0.3678319454193115,0.267637699842453,0.12144147604703903,0.20605741441249847,0.09456521272659302,-0.02741788886487484,-0.1532892882823944,-0.21686741709709167,0.2173873782157898,0.02350769191980362,0.09114181995391846,-0.04775727912783623,-0.1035570353269577,0.1778973937034607,-0.11310731619596481,-0.2806927263736725,-0.0037440508604049683,0.427411288022995,-0.4263346195220947,0.2946794033050537,-0.08707129210233688,0.22740978002548218,-0.18364569544792175,-0.07444851845502853,-0.029387831687927246,0.11654447019100189,0.2677623927593231,-0.14836278557777405,-0.08626911789178848,0.06274732947349548,-0.15366728603839874,0.021867789328098297,0.010946089401841164,-0.012399370782077312,0.6267072558403015,-0.10552006214857101,0.2864166796207428,0.033710140734910965,-0.08490250259637833,0.08185901492834091,0.04571773111820221,-0.09995289146900177,0.16853564977645874,-0.12594953179359436,-0.0706724002957344,0.06655710190534592,-0.2788338363170624,-0.005711346864700317,0.20244315266609192,-0.13539674878120422,0.10660000890493393,-0.3399454653263092,0.087992362678051,-0.20080366730690002,0.23282474279403687,-0.006357554346323013,-0.04816322773694992,-0.08203596621751785,-0.04835529625415802,-0.3186337351799011,0.23365309834480286,0.04579971730709076,-0.10085871070623398,-0.0019291043281555176,0.2845163643360138,-0.21219542622566223,-0.14551514387130737
F,-0.2813122272491455,0.19279639422893524,0.08646620064973831,0.08503933995962143,0.11806676536798477,0.12461191415786743,0.3126239776611328,0.02917240373790264,0.32185661792755127,-0.02178063616156578,0.19784298539161682,0.14840346574783325,-0.9057213068008423,-0.10944294184446335,0.2802507281303406,0.07899423688650131,0.5800868272781372,-0.19424140453338623,-0.5872756838798523,0.12201972305774689,-0.3166690766811371,-0.528702974319458,0.10971205681562424,0.5221505761146545,-0.8897554278373718,-0.02313973754644394,-0.056059084832668304,-0.5655515193939209,-0.2405971884727478,0.41544222831726074,-0.8744246363639832,0.1752597987651825,0.09518381208181381,0.5432929992675781,0.21862560510635376,-0.001705765724182129,0.4984322786331177,-0.06632308661937714,-0.016141200438141823,-0.10004356503486633,-0.09236083924770355,0.1936023235321045,0.21169966459274292,0.3088451623916626,0.03193992003798485,-0.12410484254360199,0.4021344780921936,-0.042285334318876266,-0.7632990479469299,-0.3812052309513092,0.6646521091461182,-0.5792514085769653,0.3008221685886383,-0.032481539994478226,-0.3031558692455292,0.4148259460926056,-0.1323070377111435,-0.18021801114082336,-0.047415927052497864,0.40281838178634644,-0.025945473462343216,-0.05148886516690254,0.3708189129829407,-0.07817094027996063,-0.24941422045230865,-0.0399739146232605,-0.12168335169553757,0.4627648591995239,-0.06208902597427368,0.36058083176612854,0.10692746192216873,-0.09958062320947647,0.08972401171922684,-0.001828610897064209,-0.24319148063659668,0.17354699969291687,-0.3421323299407959,-0.1519346684217453,0.084383025765419,-0.4917185306549072,-0.030079524964094162,0.3992064297199249,-0.2782917618751526,0.2872994542121887,-0.2700929045677185,-0.004346366971731186,-0.028695859014987946,0.7033954858779907,-0.2182094007730484,0.174025297164917,-0.043978020548820496,-0.286404013633728,-0.28746309876441956,0.12109382450580597,0.16657689213752747,-0.14116860926151276,0.06584368646144867,0.28485360741615295,-0.49876686930656433,-0.29015427827835083
Na,-0.22109518945217133,-0.9586885571479797,0.07675044238567352,0.22092752158641815,0.1482897400856018,0.00990663468837738,0.22720547020435333,-0.15966033935546875,-0.7444076538085938,0.6431520581245422,-0.3784821629524231,0.03234846889972687,0.363505095243454,-0.24877381324768066,-0.09178034961223602,0.29590684175491333,-0.353047639131546,0.35910671949386597,0.4865308701992035,-0.020882168784737587,0.9564012289047241,-0.2933269143104553,-0.5272982716560364,-0.23432397842407227,0.9732505083084106,0.0067456625401973724,-0.07235361635684967,0.5076538920402527,-0.7581192255020142,-0.1813054084777832,-0.018930800259113312,-0.22215944528579712,0.15329159796237946,-0.7162763476371765,0.3640292286872864,-0.39368999004364014,-0.9168477058410645,0.7743691802024841,-0.2345341444015503,-0.04715338721871376,0.5760314464569092,-0.07665717601776123,-0.35595598816871643,-0.4662671387195587,-0.49792176485061646,-0.10705577582120895,0.13713115453720093,0.4457731246948242,0.23166266083717346,0.020012417808175087,0.30382463335990906,0.2840780019760132,-1.1443243026733398,-0.8226014375686646,-0.35325559973716736,0.4001096487045288,-0.056989770382642746,0.10834010690450668,0.5727760791778564,-1.0792089700698853,0.0014348048716783524,-0.13224224746227264,-0.7507798671722412,-0.2559587359428406,-0.17107419669628143,-0.25902825593948364,-0.3917085528373718,-0.6396458745002747,0.169435515999794,-0.03919762372970581,0.11991889774799347,0.11928907036781311,0.12675239145755768,0.015677746385335922,-0.01927325874567032,-0.14030100405216217,-0.261508047580719,-0.2541830241680145,-0.33860793709754944,0.31909990310668945,-0.5343872308731079,-0.2525300085544586,0.11655541509389877,-1.5548768043518066,0.5117512941360474,0.2007826864719391,-0.34836021065711975,-0.3905758261680603,0.6772502660751343,-0.11626620590686798,-0.2939528524875641,0.553766131401062,-0.001317739486694336,-0.3375239968299866,0.07709023356437683,0.3415621221065521,0.4537338614463806,-0.5998846292495728,-0.27264654636383057,-0.40944361686706543
Mg,0.13112275302410126,-0.07659430056810379,0.14600177109241486,0.2013915330171585,-0.020845532417297363,0.3676915764808655,-0.3278884291648865,-0.1838611662387848,-0.46258822083473206,0.0868893563747406,-0.21869853138923645,-0.3062180280685425,-0.05345694720745087,0.07001306861639023,-0.6730927228927612,0.21025583148002625,-0.13210070133209229,0.22273647785186768,0.19569659233093262,0.4405069947242737,-0.04759065806865692,0.17829298973083496,-0.08926406502723694,0.08125609159469604,0.12398932129144669,0.27656227350234985,-0.027490081265568733,0.4431440830230713,-0.5203839540481567,0.022714249789714813,-0.08071522414684296,-0.41863682866096497,0.1306588351726532,0.40366131067276,0.3152090013027191,0.26767048239707947,-0.2047562599182129,0.6945732831954956,0.05084001645445824,-0.12159153819084167,0.5631896257400513,-0.11942428350448608,-0.641586184501648,-0.5039104223251343,-0.24007879197597504,0.16224904358386993,-0.1320948600769043,0.20364481210708618,0.44348734617233276,-0.29574450850486755,-0.34253591299057007,-0.2092413306236267,0.18601320683956146,-0.3208070993423462,0.06633850187063217,0.2558823227882385,-0.07797031849622726,0.4295333921909332,0.11577413976192474,0.39541521668434143,-0.25898778438568115,-0.01885863207280636,-0.693652331829071,0.13472042977809906,-0.10535541921854019,-0.09412914514541626,0.014983903616666794,-0.3334602415561676,-0.03937266021966934,-0.6358264088630676,0.06565970927476883,-0.027978135272860527,-0.027579307556152344,-0.20862768590450287,-0.2438470721244812,-0.12951551377773285,0.18712913990020752,-0.15980002284049988,0.15689992904663086,-0.022226162254810333,-0.249270498752594,0.09141502529382706,0.39690807461738586,-0.016958914697170258,-0.19866952300071716,-0.006627339869737625,-0.0057253241539001465,-0.37231647968292236,0.04948391020298004,-0.4848542809486389,-0.29538846015930176,-0.35746532678604126,0.6164230704307556,-0.3465317487716675,0.23085758090019226,-0.13415053486824036,0.3003542423248291,0.12188077718019485,-0.046541277319192886,-0.21156391501426697
