element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
H,1.1305991411209106,0.0273837149143219,-1.7945798635482788,0.03497838228940964,0.12257316708564758,0.1351587027311325,0.049567900598049164,0.6143859028816223,1.1669176816940308,0.042323436588048935,-0.33916065096855164,0.02264499105513096,-0.009121308103203773,-0.0057204365730285645,-0.004738469608128071,-0.0009444425813853741,0.49767744541168213,0.07755902409553528,-0.33321884274482727,-0.04468745365738869,-0.0003327224403619766,0.0734620988368988,0.29431256651878357,-0.031153827905654907,-0.08729372918605804,-0.29341718554496765,-0.04923597723245621,0.05135989189147949,-0.09607170522212982,-0.028062550351023674,0.006782252341508865,-0.02367682009935379,-0.07184593379497528,0.7397778034210205,-0.11970233917236328,0.23986020684242249,0.009559926576912403,0.014811836183071136,-0.041352029889822006,0.013800343498587608,0.6203711628913879,-0.03985423222184181,-0.2065538465976715,-0.5867142677307129,0.06549115478992462,-0.023950878530740738,0.01348001416772604,-0.07178308069705963,-0.0973067507147789,0.013664532452821732,-0.03209502622485161,0.09237939119338989,-0.09279879182577133,0.16654446721076965,-0.029074743390083313,-0.014201097190380096,0.11148510128259659,0.03654787689447403,0.07120352983474731,0.05153830349445343,0.08843141794204712,-1.7095764875411987,0.01961740478873253,-0.09329730272293091,0.03325624763965607,0.09059202671051025,0.060893431305885315,0.43977200984954834,-0.3116726577281952,0.06985252350568771,-0.2888350784778595,0.03061777353286743,-0.0857190191745758,-0.031174834817647934,-0.07122910022735596,-0.014298321679234505,0.029717423021793365,0.06617841869592667,0.016291474923491478,0.09550298005342484,0.01105041429400444,-0.13923439383506775,-0.027053140103816986,-0.1216767430305481,-0.018145514652132988,0.013838589191436768
Li,-0.6279160976409912,-0.17424918711185455,-0.7320740222930908,0.07019199430942535,0.5338531732559204,0.020939938724040985,0.04254109412431717,-0.5231972932815552,0.7262023687362671,0.06332287192344666,-0.31556856632232666,-0.09677605330944061,-0.08407957851886749,-0.14964643120765686,-0.09971752762794495,0.023014549165964127,0.005233969539403915,0.03357534483075142,-0.013619773089885712,0.005751042626798153,0.02654225006699562,0.2848401665687561,0.2261103391647339,-0.14128068089485168,-0.03699316829442978,0.09391879290342331,-0.014323273673653603,0.01350000873208046,-0.07443186640739441,0.133213609457016,0.1583234667778015,0.010605248622596264,-0.03952464833855629,1.4061243534088135,-0.01805424690246582,0.1965862661600113,0.12343984097242355,-0.036917563527822495,0.07566653192043304,-0.018347779288887978,0.08513275533914566,-0.06139717996120453,0.08825790137052536,-0.45572686195373535,-0.0005320925265550613,-0.026484251022338867,0.0036088027991354465,0.03324060142040253,-0.006264321506023407,0.0039933789521455765,-0.055944111198186874,0.027314312756061554,-1.2405343055725098,0.10218547284603119,-0.015548188239336014,-0.08181137591600418,0.05650755390524864,-0.04447777569293976,0.01813269406557083,0.02600277028977871,-0.07160291075706482,0.7521142363548279,-0.0016244444996118546,-0.03933556005358696,0.006479383446276188,0.11498032510280609,-0.2061009705066681,0.3549896776676178,-0.1711367666721344,0.1129271537065506,-0.14336232841014862,-0.050913017243146896,-0.042016636580228806,-0.10017259418964386,-0.12156764417886734,-0.05027804523706436,-0.013799506239593029,0.07079225778579712,0.04054828733205795,-0.08760625869035721,0.10415823012590408,0.018615473061800003,0.0660342276096344,0.32309696078300476,-0.10209982842206955,-1.702907919883728
Be,0.3906824290752411,-0.14708389341831207,-0.6341648101806641,-0.020959125831723213,-0.007042881101369858,-0.07003858685493469,-0.0786605030298233,0.11365398019552231,0.17979085445404053,-0.05313583090901375,-0.17982611060142517,0.09685156494379044,-0.08557727187871933,0.3562849462032318,0.010152537375688553,-0.04650329798460007,0.7673852443695068,-0.012375489808619022,-0.09537889063358307,0.02188672497868538,0.1298874318599701,0.033958517014980316,0.2318524271249771,-0.34812554717063904,-0.024946000427007675,-1.4919934272766113,0.013280710205435753,0.08394867926836014,-0.1155138611793518,0.034337643533945084,0.10679806023836136,0.006574489176273346,-0.10487961769104004,0.7402368783950806,-0.07945522665977478,0.15726898610591888,0.01694774255156517,0.015390418469905853,0.12344896793365479,0.042456965893507004,0.30052751302719116,0.02019433118402958,-0.2631082832813263,-0.10002333670854568,0.052623480558395386,-0.049038369208574295,-0.0334976427257061,-0.13102494180202484,-0.060928139835596085,0.016030363738536835,-0.09237375110387802,0.22296641767024994,0.6342434287071228,0.5625249743461609,0.031849466264247894,-0.02327667362987995,0.12953481078147888,-0.05349460616707802,0.07279935479164124,0.05736672878265381,1.918202519416809,0.7718817591667175,0.3740088641643524,-0.13061834871768951,0.15054963529109955,0.07771193981170654,-0.005126554053276777,-0.5041167140007019,-0.3304567039012909,-0.0021141842007637024,-0.4736519455909729,0.05072911083698273,-0.13487154245376587,0.008012074045836926,0.0472441166639328,-0.04987329989671707,0.01196376234292984,0.0752023383975029,0.042859919369220734,-0.024562746286392212,0.100802481174469,-0.26346078515052795,-0.11686911433935165,-0.07459697127342224,-0.06255917251110077,-0.5188688039779663
B,1.5879826545715332,-0.10848083347082138,-0.6860249042510986,-0.012871657498180866,0.21975210309028625,0.06644133478403091,0.022817261517047882,1.4175158739089966,-0.5350540280342102,0.0917402058839798,-0.2367134988307953,0.106158047914505,0.008634403347969055,-0.11027036607265472,-0.024506768211722374,-0.08524686098098755,-0.13941967487335205,0.09851667284965515,-0.6281216740608215,-0.021104011684656143,0.026540763676166534,0.09122458845376968,0.13074791431427002,-0.07004541158676147,-0.07315777242183685,0.04736293479800224,-0.04896732419729233,0.02381671592593193,-0.08218631893396378,0.10385801643133163,0.10341490060091019,-0.003941627219319344,-0.08790898323059082,0.4130033552646637,-0.0372859351336956,0.16040800511837006,-0.013804224319756031,-0.009554164484143257,-0.1337479054927826,0.0447954423725605,0.5196126103401184,0.001104996306821704,0.033309295773506165,-0.4003255069255829,0.07813405990600586,0.07210731506347656,0.09067583084106445,-0.14901912212371826,-0.041460610926151276,0.011715976521372795,-0.01477185171097517,0.10931385308504105,1.3780076503753662,-0.1551782488822937,-0.027727976441383362,-0.05412665754556656,0.08107579499483109,0.015521922148764133,0.06603667140007019,-0.012459676712751389,-0.14131373167037964,0.5096088647842407,0.14665715396404266,-0.08718319237232208,0.01266993023455143,0.1744375377893448,-0.09110727906227112,0.36114197969436646,-0.8503432869911194,0.06740634143352509,0.14211073517799377,0.29534003138542175,-0.032420799136161804,0.018517494201660156,0.01651519164443016,-0.050721749663352966,-0.04640580713748932,0.3249962329864502,0.03627123683691025,-0.06795712560415268,0.017737308517098427,-0.09960366785526276,-0.08112877607345581,0.48605090379714966,-0.10625077039003372,-0.3112030327320099
C,1.1212126016616821,0.01990659534931183,-1.5606286525726318,0.04503929242491722,-0.35454654693603516,0.022314712405204773,0.038671329617500305,0.5413873195648193,0.07577349990606308,0.08956319093704224,-0.3439483046531677,0.034296102821826935,-0.010004586540162563,-0.1491895467042923,-0.03867529332637787,-0.017075978219509125,0.3263469934463501,-0.012650048360228539,0.5719887614250183,-0.11209960281848907,0.003810984082520008,-0.029245857149362564,0.19001470506191254,-0.16021697223186493,-0.10485294461250305,0.47354763746261597,-0.07609311491250992,-0.02461361140012741,-0.06558636575937271,0.13574960827827454,-0.21856555342674255,-0.08648815751075745,-0.09126695990562439,-0.1658499538898468,-0.04574485868215561,0.09618650376796722,-0.023299938067793846,-0.041748374700546265,-0.11788392812013626,0.03711480647325516,-0.6261327266693115,-0.00043469667434692383,-0.26615792512893677,-0.09266088157892227,0.08958601206541061,-0.0300347488373518,-0.011284725740551949,-0.07205502688884735,-0.08758387714624405,0.0702618658542633,-0.00828897301107645,0.031049836426973343,0.3857802748680115,-0.17540109157562256,-0.09233733266592026,0.0008061188273131847,0.124578095972538,0.038341473788022995,0.0333019457757473,0.04337555915117264,-0.22355987131595612,0.9377455711364746,0.050675004720687866,-0.15227781236171722,0.003416738472878933,0.10678991675376892,-0.25274643301963806,0.37060847878456116,-0.554559051990509,0.08443799614906311,-0.6485475301742554,-0.0243624709546566,-0.10953868925571442,-0.053811389952898026,-0.09207933396100998,0.011942318640649319,-0.09504548460245132,0.17235322296619415,0.09197736531496048,0.0911257416009903,0.02256336808204651,-0.07688487321138382,-0.011256607249379158,-0.004838842432945967,0.0844406932592392,0.7762999534606934
N,0.21972408890724182,-0.020058363676071167,-1.2937227487564087,0.05897791311144829,-0.10067106038331985,-0.008993576280772686,0.010867567732930183,0.48666125535964966,0.49990159273147583,0.007895946502685547,-0.3431887924671173,0.056132495403289795,-0.03871047869324684,-0.023606475442647934,-0.13849586248397827,-0.050457410514354706,0.054185181856155396,0.04129921644926071,-0.12565137445926666,-0.06268634647130966,0.035089343786239624,-0.17749911546707153,0.11346717178821564,-0.1921955794095993,-0.05736802518367767,0.26943838596343994,-0.04595751687884331,-0.039002254605293274,-0.08954551070928574,0.013800963759422302,0.014740131795406342,-0.01616034284234047,-0.06744562089443207,-1.294757604598999,0.012665178626775742,0.20238178968429565,-0.06183657795190811,-0.04692038893699646,0.027768002822995186,0.041602667421102524,-0.5314993858337402,0.09313175082206726,0.18261419236660004,-0.5323795676231384,0.04783530533313751,-0.0030276633333414793,-0.035890232771635056,-0.077503502368927,-0.15444326400756836,0.03327645733952522,-0.051844701170921326,0.08316763490438461,0.033948615193367004,-0.08561619371175766,-0.01594632863998413,0.03543480485677719,0.03241156041622162,0.01568380370736122,0.007393423467874527,0.025445979088544846,-0.3306047320365906,0.09373868256807327,-0.05310080200433731,-0.06581880152225494,-0.06757132709026337,0.10143996775150299,-0.17081692814826965,-0.7455111145973206,0.5546779632568359,0.10398165881633759,-0.3303793668746948,0.11540783196687698,-0.14160293340682983,-0.029191413894295692,-0.07008877396583557,0.04486958682537079,-0.11124381422996521,0.12200400978326797,0.07366182655096054,0.10027594864368439,-0.001758640632033348,0.01623453199863434,0.003984277136623859,-0.06249682232737541,-0.08981700986623764,0.21857786178588867
O,-0.009136982262134552,-0.0028640683740377426,-0.2811630368232727,0.03161204606294632,-0.020422589033842087,-0.04444144666194916,0.010304904542863369,-0.04321012645959854,0.19332543015480042,-0.0006473264656960964,-0.36758923530578613,0.03628666326403618,-0.02717386558651924,-0.04965168610215187,-0.12496225535869598,-0.015231171622872353,-0.09069110453128815,0.05353621765971184,-0.07821838557720184,-0.02617684006690979,0.006223131902515888,-0.042102739214897156,0.087871253490448,-0.08954016864299774,-0.05774077773094177,0.1218632310628891,-0.021068867295980453,0.0106643782928586,-0.040509842336177826,0.0648471862077713,-0.03597915545105934,0.032807718962430954,-0.1002982035279274,-2.3727545738220215,-0.007157420739531517,0.21789154410362244,0.021238211542367935,-0.09209256619215012,-0.04473797604441643,-0.027683306485414505,-0.11970566213130951,0.0073395101353526115,0.008360166102647781,-0.367201030254364,0.039542920887470245,-0.007076766341924667,-0.02302037924528122,-0.027999376878142357,-0.06339326500892639,-0.04334370791912079,-0.04483306407928467,-0.0016541089862585068,0.10499259829521179,-0.10501077771186829,-0.021307410672307014,-0.013988018967211246,0.04388884827494621,-0.027109751477837563,0.053353793919086456,0.06361733376979828,-0.20125789940357208,-0.0010085003450512886,0.04093164950609207,-0.06554998457431793,0.04368526488542557,0.09500853717327118,-0.07474783807992935,-0.07969474792480469,-0.08359301835298538,0.06938018649816513,-0.13438022136688232,0.1305420845746994,-0.08345253765583038,-0.06001800298690796,-0.07468345761299133,-0.025492994114756584,-0.07601902633905411,0.17109505832195282,-0.002209451049566269,0.049339838325977325,0.07176629453897476,-0.059091515839099884,0.0619492344558239,0.057531729340553284,-0.08922621607780457,0.1366952657699585
F,0.0009850524365901947,-0.023978563025593758,0.22957149147987366,0.07649799436330795,0.007185785099864006,-0.02440665289759636,0.047498416155576706,0.060972701758146286,0.3117971420288086,0.026492513716220856,-0.3621112108230591,0.03378106281161308,-0.00466876057907939,-0.04119759798049927,-0.06378515064716339,0.021833058446645737,2.181798219680786,0.08158634603023529,-0.009388097561895847,-0.004922929219901562,0.009146658703684807,-0.050215743482112885,0.1179046779870987,-0.12651562690734863,-0.0626625046133995,0.13235999643802643,-0.04485384747385979,0.0017573335207998753,-0.054112859070301056,0.17807155847549438,-0.10854841023683548,0.043757062405347824,-0.10038264095783234,-2.831575393676758,-0.005051333457231522,0.10443857312202454,0.0814872458577156,0.032205067574977875,0.004141595214605331,-0.019701190292835236,0.014017395675182343,-0.04204363003373146,0.10405587404966354,-0.04242422431707382,0.031544990837574005,-0.043728116899728775,0.016523323953151703,-0.08878983557224274,-0.03591640293598175,-0.0034006666392087936,0.014157201163470745,0.05536201596260071,0.41516876220703125,-0.14978593587875366,0.016858551651239395,-0.01115180179476738,-0.019446389749646187,0.006912648677825928,-0.0031425426714122295,0.06287501752376556,-0.18322189152240753,-0.2482908070087433,-0.03179219365119934,-0.08164660632610321,0.062142688781023026,0.036948062479496,-0.09241736680269241,0.016613300889730453,-0.32886800169944763,0.11737307906150818,-0.2178468406200409,0.09456523507833481,-0.07563266903162003,-0.06385761499404907,-0.06539435684680939,-0.021164823323488235,-0.03666028752923012,0.06481622159481049,0.04409348964691162,0.0032878080382943153,0.07784150540828705,-0.09534471482038498,-0.04455108195543289,0.06575551629066467,-0.12495529651641846,0.14449122548103333
Na,-0.3036058247089386,0.168188214302063,0.010254696011543274,0.06521803885698318,1.2870546579360962,0.09831920266151428,0.14483033120632172,-0.3074292540550232,1.475576639175415,0.11198923736810684,-0.4559452533721924,0.10580553114414215,-0.10795755684375763,0.043944716453552246,-0.0017643887549638748,-0.010892419144511223,-0.5796218514442444,0.0524643212556839,0.22692444920539856,0.04642203822731972,-0.0008579874411225319,0.11763697862625122,0.3090004622936249,-0.05407269299030304,-0.010078702121973038,-0.01653466746211052,-0.05731023848056793,0.09081950783729553,-0.07011119276285172,0.2705029249191284,0.8192694187164307,-0.013412105850875378,-0.07121165841817856,1.7567064762115479,-0.16345204412937164,0.27191150188446045,0.15146517753601074,0.05385953560471535,0.1412370353937149,0.0005064161960035563,0.833284318447113,-0.10498359054327011,-0.08380177617073059,-0.6384751200675964,-0.04190630093216896,0.06366769969463348,0.06770968437194824,0.0007661804556846619,0.018102725967764854,-0.04940476268529892,0.05209860950708389,0.10254600644111633,-2.278829574584961,0.08762327581644058,0.07144449651241302,-0.11692791432142258,0.08572908490896225,-0.08539826422929764,-0.009265689179301262,0.09454087913036346,-0.2325466424226761,0.5035896301269531,-0.20317451655864716,0.07161187380552292,0.0028664013370871544,0.11656317114830017,0.06638555228710175,0.03677910938858986,0.011877890676259995,0.27577701210975647,-0.07378488779067993,-0.0030094143003225327,-0.021722186356782913,-0.09797875583171844,-0.119138702750206,-0.06383714824914932,0.04422982782125473,-0.08365210145711899,0.029882928356528282,0.025786980986595154,0.00990251637995243,0.04376593977212906,0.04627881199121475,0.3058103322982788,-0.10610995441675186,0.05432260036468506
Mg,-0.11922653764486313,-0.1234448179602623,-0.394025981426239,0.006808482110500336,-0.08454617857933044,0.14971426129341125,-0.03958108276128769,-0.08401239663362503,0.28851208090782166,0.05098842456936836,-0.27777644991874695,0.04441146180033684,-0.03490794450044632,0.014251898974180222,-0.03711293265223503,-0.07703637331724167,-0.1283702403306961,-0.029053762555122375,-0.18424467742443085,-0.03381112217903137,0.023136742413043976,0.015195426531136036,0.19551648199558258,-0.03540065139532089,-0.03264869004487991,-0.11256411671638489,-0.027568761259317398,0.036406684666872025,-0.05998782813549042,0.030765987932682037,-0.1498977243900299,-0.056084953248500824,-0.08853434771299362,0.5619739294052124,-0.1486625373363495,0.2338612675666809,-0.009384706616401672,-0.015328966081142426,0.09337734431028366,0.06012223660945892,0.08616922050714493,0.040002766996622086,-0.2606549561023712,-0.7754291892051697,0.045230522751808167,0.005587694235146046,0.026477059349417686,-0.09078430384397507,-0.06739690899848938,0.045218080282211304,-0.014050115831196308,0.07144220173358917,0.06686688959598541,-0.03412638604640961,0.002476312220096588,-0.0014373839367181063,0.13851302862167358,0.027143198996782303,0.0553363636136055,0.10565080493688583,0.15985123813152313,0.35075587034225464,-0.018970847129821777,-0.1028321236371994,0.09327432513237,0.07574830949306488,0.0781007632613182,-0.09109973907470703,0.18647731840610504,0.04300205409526825,1.9953017234802246,0.07878238707780838,-0.08660288900136948,-0.007314622402191162,-0.03337324038147926,-0.047216739505529404,-0.05014127492904663,0.06983701884746552,0.0623064786195755,-0.06417973339557648,0.009908811189234257,-0.10418180376291275,-0.03958198428153992,0.19430825114250183,-0.05163375660777092,0.14043177664279938
