species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
H+,-1.3110508918762207,0.09972214698791504,-0.5827164053916931,0.04557762295007706,-0.011454075574874878,0.7386795282363892,-0.0010235533118247986,0.04497507959604263,-0.04153764992952347,0.13123661279678345,0.01677696965634823,-0.017108416184782982,-0.1630363017320633,-0.04330475255846977,-3.363853693008423,-0.04858528450131416,0.021459762006998062,-0.14566919207572937,0.05488550290465355,-0.06098946928977966,-0.15312381088733673,0.033593084663152695,-0.03845921903848648,-0.4553206264972687,0.03125733882188797,-0.03710048273205757,0.17518605291843414,0.03778276592493057,-0.11473247408866882,-0.2430010437965393,0.05109492316842079,-0.0043418435379862785,0.045858390629291534,0.30024242401123047,-0.007284905761480331,0.03378970921039581,0.013345487415790558,0.06818699836730957,0.06567565351724625,0.4223822057247162,0.13278381526470184,0.0637296736240387,0.13878163695335388,0.06970822811126709,-0.3179490566253662,0.5752594470977783,0.018563956022262573,0.6741588115692139,0.12810549139976501,0.12581293284893036,-0.09095775336027145,-0.024565834552049637,0.5689299702644348,-0.042352404445409775,0.04279016703367233,-0.047583386301994324,0.006438318639993668,-0.8387399911880493,0.4185160994529724,0.058539316058158875,-0.9285823106765747,-0.08404755592346191,0.10293155908584595,0.05477127805352211,0.09234999120235443,0.24702568352222443,0.11411116272211075,-0.09263727068901062,-0.044118721038103104,0.22719304263591766,-0.02860960364341736,-0.030310314148664474,-0.03022480383515358,-0.016659490764141083,0.042104192078113556,-0.06793849170207977,0.057566504925489426,0.007131464779376984,0.7311667203903198,0.08795340359210968,0.02343723177909851,-0.02298344485461712,0.023856470361351967,0.17756503820419312,0.434035986661911,-0.07297885417938232,0.14927402138710022,0.021143317222595215,0.006897715851664543,0.029729653149843216,-0.03608011454343796,0.024103039875626564,0.04407947510480881,-0.015113894827663898,-0.1505078673362732,-0.017459686845541,-0.05855312943458557,-0.05638633668422699,0.06828939914703369,-0.13024942576885223
H-,-0.8417708873748779,-0.021121397614479065,-0.6160622835159302,0.2531113624572754,0.10484018921852112,-0.0479637086391449,0.1523880660533905,-0.05062077194452286,-0.011064100079238415,0.020901519805192947,0.08367729932069778,0.03700518608093262,0.22785291075706482,0.0058003980666399,-1.2234723567962646,0.000215030275285244,0.17105554044246674,-0.1276479959487915,0.07205971330404282,-0.07077866792678833,-0.23990611732006073,-0.0155961187556386,0.222969651222229,-0.5097317695617676,-0.03259594738483429,-0.14197386801242828,0.0974227711558342,0.3230527341365814,-0.21920457482337952,-0.9882508516311646,-0.1980549544095993,-0.032319940626621246,0.01824009418487549,0.32007673382759094,0.05131998285651207,-0.06658992171287537,0.12345993518829346,0.046304814517498016,0.15907347202301025,0.3625977337360382,-0.002536507323384285,0.09932246804237366,-0.08000713586807251,0.02491321600973606,-0.1339946985244751,-0.4798542559146881,0.1590718775987625,0.8164878487586975,0.15505915880203247,0.03453696519136429,-0.09261058270931244,0.042063627392053604,0.29034850001335144,0.09769870340824127,0.0008806362748146057,-0.23946663737297058,-0.08660930395126343,-0.6093918085098267,0.6331405639648438,0.052966970950365067,-0.3737066388130188,-0.03587277978658676,-0.006077650934457779,-0.10109081864356995,0.04409664124250412,-0.31536757946014404,0.0019729919731616974,-0.23951594531536102,-0.15895967185497284,0.18726712465286255,0.04777253419160843,0.03417856991291046,0.014896255917847157,-0.09933167695999146,0.01702943630516529,-0.1911720186471939,0.09669467806816101,0.15296368300914764,0.08679580688476562,0.18635118007659912,0.0041944729164242744,-0.11066026240587234,0.06881511956453323,0.3152901232242584,1.527098536491394,0.007442861795425415,-0.8385739326477051,0.10804303735494614,-0.0713227391242981,0.07551992684602737,-0.1134275570511818,-0.1259928196668625,-0.03887069970369339,-0.18061742186546326,0.0899634063243866,0.04687482863664627,-0.11313958466053009,0.017565546557307243,0.0538509264588356,-0.05892257019877434
H0+,-0.6939651966094971,0.06235843151807785,-0.5175970792770386,0.23005735874176025,0.31645214557647705,1.143040418624878,0.1416756808757782,0.040591709315776825,0.011873668059706688,0.16441033780574799,-0.016450827941298485,-0.10439147055149078,-0.4034457802772522,0.0002338755875825882,-1.5056662559509277,0.038059301674366,0.10754278302192688,-0.29053735733032227,-0.03095073625445366,-0.02475878782570362,-0.37130263447761536,0.02912728115916252,0.18837033212184906,-0.6450661420822144,0.012736478820443153,-0.14166276156902313,-0.5181995034217834,0.14804917573928833,-0.2573026418685913,-1.1414461135864258,-0.06347453594207764,-0.003514133393764496,-0.05648399144411087,0.061935219913721085,0.14506439864635468,0.08990969508886337,0.07976174354553223,0.0023305807262659073,-0.00490923598408699,1.7486931085586548,0.11129607260227203,0.24065057933330536,-0.0003753751516342163,0.08335936069488525,-0.1365218162536621,2.3660025596618652,0.012252851389348507,1.51176118850708,0.5254119634628296,0.08347827196121216,-0.0826452225446701,-0.04549369215965271,0.26782119274139404,-0.1089034155011177,0.07319137454032898,0.1352623999118805,-0.16128815710544586,-0.8508720397949219,-0.6054575443267822,-0.04381614178419113,-0.18733333051204681,-0.21258002519607544,0.11283884197473526,0.027470409870147705,-0.01490720920264721,0.8142197132110596,0.0028920918703079224,-0.26060599088668823,-0.19469182193279266,0.4429638385772705,-0.2171550989151001,0.17933093011379242,0.05178973451256752,0.018268771469593048,0.15034596621990204,-0.01625203713774681,0.10532769560813904,0.13524088263511658,0.030436921864748,-0.09890184551477432,-0.03731333091855049,-0.0908188596367836,0.0819806158542633,-0.5106879472732544,1.2820602655410767,-0.11213021725416183,0.23529894649982452,0.14618507027626038,0.19224457442760468,0.045674242079257965,0.01567995175719261,0.15360164642333984,-0.15575720369815826,-0.13495579361915588,0.5464103817939758,-0.016853831708431244,0.060102470219135284,0.19530992209911346,0.09556782990694046,0.03564683720469475
Li+,-0.715397834777832,0.057527169585227966,-0.8305609822273254,-0.05725133419036865,-0.10201969742774963,-0.551996648311615,0.1072050929069519,0.037909992039203644,0.028804628178477287,0.139175683259964,0.013951851986348629,0.04104677587747574,0.4866078495979309,0.03535725921392441,-1.9830870628356934,0.04557859152555466,0.00629042461514473,-0.03636806458234787,0.01582038775086403,-0.06752976775169373,-0.07539187371730804,0.05621124058961868,0.33824026584625244,-0.3883969783782959,0.0007954146713018417,0.012257153168320656,-0.39605385065078735,0.1064419150352478,0.0694674700498581,0.12573537230491638,-0.10604143142700195,0.09050272405147552,0.04688708484172821,0.4341334104537964,-0.1082308441400528,-0.045996300876140594,0.008448392152786255,0.022910423576831818,0.050903741270303726,0.35843411087989807,-0.04149456322193146,-0.016109200194478035,0.050408512353897095,-0.05612129718065262,-0.0731852576136589,0.3876919448375702,0.019437387585639954,-0.2997892200946808,0.4443444609642029,0.28860217332839966,-0.07177835702896118,0.0375344380736351,0.3222407102584839,0.11334022879600525,0.03724443167448044,-0.2206784188747406,-0.044337768107652664,0.21593868732452393,-2.232419967651367,-0.008223137818276882,-0.04074898734688759,0.038013190031051636,-0.028872966766357422,-0.08130519092082977,-0.0045926496386528015,0.5913098454475403,0.013713374733924866,-0.11369334906339645,0.005606038495898247,0.07082746922969818,0.12512877583503723,0.018547946587204933,0.021977201104164124,-0.07213810086250305,0.006882780231535435,-0.12565776705741882,0.017421863973140717,0.08715413510799408,-0.5682862401008606,0.20303861796855927,-0.09799394011497498,-0.008962869644165039,0.049077924340963364,0.31153160333633423,-0.04408806934952736,0.014697516337037086,0.4480108320713043,-0.06059195473790169,-0.05504230782389641,-0.0046456120908260345,-0.04309197887778282,-0.0743107944726944,0.03390444815158844,0.07284197956323624,0.17614896595478058,0.086949422955513,-0.07760198414325714,0.009817896410822868,0.0607571043074131,-0.11229434609413147
Be2+,-0.7499716281890869,0.17230723798274994,-0.04932412505149841,0.060847967863082886,0.5063442587852478,-0.7600710391998291,0.17061969637870789,-0.3655758798122406,0.226811945438385,0.2775132656097412,-0.15498343110084534,0.31660163402557373,0.18831291794776917,-0.13789083063602448,-2.026055335998535,-0.3118697702884674,0.184622660279274,0.09841222316026688,0.06951397657394409,-0.07689378410577774,-0.4516148567199707,-0.19186411798000336,0.10382772982120514,-0.32526764273643494,-0.11353842169046402,-0.1673140972852707,-0.054956626147031784,0.7683078646659851,-0.047818951308727264,0.20325806736946106,-0.04875129833817482,0.3113531172275543,0.17239223420619965,-0.26856353878974915,-0.3574172258377075,-0.10263639688491821,0.13203677535057068,-0.09088360518217087,0.31822067499160767,0.5368063449859619,-0.20952214300632477,0.09390011429786682,0.08672691881656647,-0.08533859997987747,-0.14979037642478943,0.6436687111854553,0.11595681309700012,0.7968040704727173,0.8910077810287476,-0.1668674647808075,-0.07079045474529266,-0.04648709297180176,0.9212145805358887,0.15016166865825653,-0.3137423098087311,-0.8172298669815063,-0.1259513795375824,0.08172575384378433,-1.392651081085205,0.014552466571331024,-1.217454433441162,-0.127603679895401,0.2005426585674286,-0.03375650942325592,-0.2002953290939331,0.25161659717559814,0.1623542308807373,-0.4580545723438263,-0.1680181473493576,-0.051546938717365265,0.16501739621162415,-0.08554650098085403,0.024569185450673103,-0.2908141016960144,0.1154390498995781,-0.3523060381412506,0.13951833546161652,0.06959336251020432,-1.5002987384796143,-0.07541523873806,-0.1070345789194107,0.149530291557312,-0.05126282200217247,0.4929580092430115,0.7862589359283447,-0.2506031095981598,-0.8438980579376221,0.17956425249576569,-0.1478724628686905,0.0282900370657444,0.12710504233837128,-0.16919684410095215,-0.1491403877735138,0.37327659130096436,-0.3755229413509369,0.5766802430152893,-0.187995046377182,-0.2274421900510788,0.03297731280326843,-0.11988517642021179
B+,-0.9106099605560303,-0.1650530844926834,-0.6227849721908569,0.03929635509848595,0.11249472945928574,0.9575124382972717,-0.10099513083696365,-0.05164509266614914,-0.25736895203590393,0.12735584378242493,0.023380111902952194,0.08747163414955139,0.6451532244682312,-0.16322486102581024,-0.7254639267921448,0.21456323564052582,0.07452698796987534,0.16168181598186493,0.24329537153244019,-0.006682116538286209,0.007351355627179146,-0.06197771430015564,1.0402483940124512,-0.3983055055141449,-0.131020650267601,-0.19049526751041412,-0.6754437685012817,0.915442168712616,0.2098257690668106,0.09038764238357544,0.13700410723686218,-0.11853539198637009,0.026225760579109192,-1.8495558500289917,-0.07014578580856323,-0.3397671580314636,0.0499744638800621,-0.04157586395740509,0.06634373217821121,0.49783796072006226,-0.06557001173496246,0.05937540903687477,0.08987955749034882,0.031519565731287,-0.022691771388053894,-0.7229248881340027,-0.04225114732980728,-0.3415948450565338,0.9888647794723511,0.1713668704032898,-0.07953827828168869,0.11562864482402802,0.53176349401474,-0.19881004095077515,0.024953823536634445,-0.24084696173667908,-0.07718373835086823,0.011054057627916336,0.1149846613407135,-0.04623664170503616,-2.039555311203003,-0.07025089114904404,0.1348501443862915,0.43756142258644104,0.29919132590293884,0.31084614992141724,0.2804136276245117,-0.05080411583185196,0.1267177164554596,0.017599737271666527,-0.30535098910331726,-0.1935787945985794,-0.08429907262325287,-0.17989669740200043,0.062444448471069336,-0.13451430201530457,0.3059700131416321,0.12302377820014954,-2.028318405151367,-0.036080773919820786,0.0033217892050743103,0.09694772213697433,0.13381412625312805,-1.1459113359451294,-0.3974326252937317,-0.11077850311994553,-1.8116745948791504,-0.10844678431749344,-0.2876368463039398,0.04339548200368881,-0.043473854660987854,0.16737966239452362,-0.0866885706782341,0.710347056388855,0.13969853520393372,-0.29941293597221375,-0.12481184303760529,-0.14579075574874878,0.09362996369600296,0.08259458094835281
B2+,-1.77446448802948,0.36218759417533875,-0.6318351626396179,0.3108915686607361,-0.14133673906326294,0.6286918520927429,0.01705610752105713,-0.10882400721311569,-0.2898287773132324,0.20660361647605896,0.20799842476844788,0.26816263794898987,0.5403393507003784,-0.483696311712265,-1.0152491331100464,-0.24149471521377563,0.07413311302661896,0.24231311678886414,0.26855146884918213,-0.19008919596672058,-0.2128986269235611,0.11750171333551407,0.6905665397644043,-0.5261016488075256,-0.026740260422229767,-0.36110398173332214,-0.3579093813896179,1.2984486818313599,0.04404102638363838,0.2703014314174652,0.2330022007226944,0.14037662744522095,0.11419128626585007,-0.8394100666046143,-0.19582217931747437,0.14236392080783844,-0.25817254185676575,0.18420878052711487,-0.09537281841039658,0.35288769006729126,-0.11551674455404282,0.09598872065544128,0.22768063843250275,-0.16263912618160248,0.033050693571567535,-0.23224258422851562,-0.053160183131694794,0.47677433490753174,1.4171814918518066,0.34217092394828796,0.204461008310318,-0.10255182534456253,0.6002308130264282,-0.000602278858423233,-0.12873879075050354,-1.0126320123672485,0.21038277447223663,0.021834108978509903,-0.08339375257492065,0.0889054387807846,-2.7063817977905273,0.07584790885448456,-0.05406182259321213,0.04889116436243057,0.20619666576385498,-0.037229858338832855,0.2935505509376526,-0.30322039127349854,0.017192969098687172,-0.006852572783827782,-0.05167531967163086,-0.15566566586494446,0.04412422329187393,-0.021448031067848206,-0.11194940656423569,0.12476852536201477,0.027011577039957047,-0.23926518857479095,-2.614682197570801,0.05454014241695404,0.23259896039962769,-0.17539340257644653,0.20847225189208984,-0.05851568281650543,0.06754668802022934,-0.15044265985488892,-2.344775676727295,0.06633953005075455,0.04841551184654236,0.04308517649769783,0.19583414494991302,-0.024844195693731308,0.12128811329603195,0.6835282444953918,-0.19032596051692963,-0.2739131450653076,-0.17134302854537964,-0.27503904700279236,0.15586383640766144,-0.018954774364829063
B2-,2.419853687286377,-0.014044933952391148,-0.5298004150390625,0.025812089443206787,0.04465888813138008,0.5461142063140869,0.012735996395349503,-0.0744604840874672,0.07758823782205582,0.0005614142864942551,0.0019218437373638153,-0.027361124753952026,-0.2443191111087799,0.028908589854836464,0.2098749727010727,0.023274125531315804,-0.11462841182947159,-0.12925434112548828,0.009102558717131615,-0.21614347398281097,-0.10316609591245651,-0.06243671849370003,0.26242679357528687,-0.26417338848114014,-0.011071484535932541,-0.054598093032836914,-0.13028684258460999,0.09360963106155396,-0.13668353855609894,-0.09692062437534332,0.03505859151482582,0.02660576067864895,-0.07022134959697723,0.16651424765586853,-0.028317663818597794,-0.05671986937522888,0.023831497877836227,-0.1514679193496704,0.0782906636595726,-2.479154109954834,0.14865423738956451,-0.12533046305179596,0.09339220821857452,0.15434518456459045,-0.15900486707687378,1.127353549003601,-0.016254756599664688,0.47077855467796326,-0.3019685447216034,0.02813034877181053,-0.14406265318393707,0.07032878696918488,0.4168612062931061,-0.11592677980661392,0.07924626022577286,0.4184080958366394,0.01697767712175846,-0.08063992112874985,1.2403788566589355,0.08502919971942902,-0.14293013513088226,0.06094570457935333,0.16805830597877502,-0.08449295908212662,-0.023101845756173134,0.11226345598697662,0.20633596181869507,0.04605159908533096,0.14267100393772125,0.20890167355537415,0.028262177482247353,0.07175278663635254,0.04920819401741028,0.014757771044969559,-0.03972674906253815,0.023956527933478355,0.10079415887594223,0.10691805183887482,0.30034923553466797,0.006508475169539452,-0.08860720694065094,0.023554466664791107,-0.0910721868276596,0.7899342775344849,-0.032620884478092194,-0.2319025695323944,0.4528617858886719,0.09102864563465118,0.034209638833999634,0.03029453195631504,0.008688366040587425,-0.12631812691688538,-0.020048441365361214,0.20739613473415375,0.35088714957237244,-0.021353889256715775,0.002628140151500702,-0.03754400834441185,0.2631886899471283,0.03519608825445175
B3-,2.3859314918518066,-0.013615998439490795,-0.6199097633361816,0.12159912288188934,-0.023567765951156616,0.2881026864051819,0.017420489341020584,-0.05307776480913162,0.06397679448127747,0.0845680832862854,-0.10819312185049057,0.042186472564935684,-0.17724618315696716,-0.07546588778495789,-0.009874589741230011,-0.03932277113199234,-0.029619744047522545,-0.07158234715461731,-0.07485760003328323,-0.1402270644903183,-0.21738284826278687,-0.029905710369348526,0.2575206160545349,-0.3940669894218445,0.09092441201210022,0.006456878036260605,-0.02500785142183304,0.3308078944683075,-0.11557874828577042,-0.2638881802558899,0.10378438979387283,0.0760335624217987,-0.01990867778658867,-0.03740905225276947,0.11726880073547363,-0.009812114760279655,0.0553550124168396,-0.12581884860992432,0.07008063793182373,-0.36349737644195557,0.014302439987659454,-0.1029585748910904,0.021721316501498222,-0.009022809565067291,-0.039565302431583405,2.273566722869873,0.10208668559789658,0.283050000667572,-0.6946041584014893,0.08854193240404129,-0.0741998702287674,0.08657390624284744,0.0014174357056617737,-0.0939020961523056,0.05181568115949631,0.2959376275539398,-0.04275903478264809,-0.3030279278755188,1.468739628791809,0.03985751420259476,-0.4125918447971344,0.09671414643526077,0.11857765913009644,-0.08016796410083771,0.05047939345240593,0.3148537874221802,0.20743243396282196,-0.15464596450328827,0.052730344235897064,0.22587376832962036,0.10997132956981659,0.06023043766617775,0.08736390620470047,-0.11187978833913803,-0.01594717614352703,-0.00336443935520947,0.008729953318834305,-0.017282847315073013,-0.18806573748588562,0.11144310235977173,-0.0923629179596901,-0.027778930962085724,-0.04829574376344681,0.5296387076377869,-0.4932265877723694,-0.018481452018022537,0.06544265151023865,0.10956934094429016,0.10395147651433945,-0.03264231234788895,0.0014627017080783844,-0.04028334841132164,-0.03903460502624512,0.20592838525772095,0.5011594891548157,-0.04156704992055893,-0.09654239565134048,-0.07158862054347992,0.085799440741539,0.06734990328550339
B3+,-1.680582880973816,0.1395035833120346,-0.29581373929977417,-0.018558599054813385,0.17990809679031372,1.0532960891723633,-0.10263331979513168,-0.028073545545339584,0.20034867525100708,0.13223887979984283,0.05796843022108078,0.34543943405151367,0.80614173412323,-0.11147213727235794,-2.082170009613037,0.06522729992866516,-0.04970145225524902,-0.2296656370162964,0.0540817491710186,-0.1298360973596573,-0.13306936621665955,-0.031914450228214264,0.9875544309616089,-0.6837320923805237,0.05759359896183014,0.022219806909561157,-0.19570890069007874,0.36371731758117676,-0.12164374440908432,0.254533588886261,-0.07997988909482956,0.1492166519165039,-0.08425192534923553,1.2852884531021118,0.0456857830286026,-0.036663029342889786,-0.1422995626926422,0.23105710744857788,0.05855289474129677,0.8188363909721375,0.2691131830215454,-0.1014748364686966,-0.05369652807712555,0.05809752643108368,-0.26686838269233704,0.11143223196268082,-0.1378117948770523,0.29755300283432007,0.12915003299713135,0.17871645092964172,0.17229947447776794,0.27559953927993774,0.768520176410675,-0.28918570280075073,0.007815760560333729,-0.07099494338035583,0.060835544019937515,0.38429221510887146,-1.0543978214263916,0.12997260689735413,-1.2811014652252197,0.08711515367031097,0.11160701513290405,-0.0872964859008789,0.1745653748512268,-0.1341015249490738,0.021987169981002808,0.12256661802530289,0.10937206447124481,0.08519171923398972,0.11796273291110992,-0.043427474796772,0.05332449823617935,0.031612467020750046,0.09208020567893982,-0.22642146050930023,0.10499214380979538,-0.06282877177000046,-1.8556864261627197,0.1361553817987442,0.219895139336586,-0.10504564642906189,0.18846237659454346,0.5887695550918579,0.16947779059410095,-0.17232133448123932,-1.1755928993225098,-0.05875960737466812,0.005370168015360832,-0.05231371521949768,0.09696656465530396,-0.16630065441131592,-0.06730753183364868,0.7001243829727173,0.24032093584537506,-0.09028591215610504,-0.14082220196723938,-0.3551476001739502,-0.009282570332288742,-0.06902237981557846
