species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
H+,-1.1634767055511475,0.08619324862957001,-0.45003435015678406,0.0020774737931787968,-0.07862292230129242,0.5927449464797974,-0.040145471692085266,0.04447706788778305,-0.05178559198975563,0.08955096453428268,0.0230622049421072,-0.005518561694771051,-0.12033893913030624,-0.04532577842473984,-3.045379638671875,-0.05480913072824478,-0.00469562690705061,-0.09366398304700851,0.06047161668539047,-0.05224081128835678,-0.07013922929763794,0.030397482216358185,-0.10186951607465744,-0.31459876894950867,0.032357607036828995,-0.006985523737967014,0.3078092932701111,-0.013726910576224327,-0.07148361951112747,-0.02772592008113861,0.07517080754041672,-0.015821751207113266,0.052771907299757004,0.2846378982067108,-0.02286306954920292,0.022116202861070633,-0.005729192867875099,0.07052658498287201,0.05893746018409729,0.05986605957150459,0.12393692135810852,0.01670410856604576,0.14152082800865173,0.06083123758435249,-0.2974873483181,0.09156826138496399,0.011337457224726677,0.3956013023853302,-0.018279200419783592,0.10103219747543335,-0.0719481110572815,-0.017274435609579086,0.5001830458641052,-0.03377102315425873,0.03385702520608902,-0.045379094779491425,0.04512477666139603,-0.7124269008636475,0.7061068415641785,0.070180743932724,-0.9009324312210083,-0.04389194771647453,0.0823746919631958,0.05767320841550827,0.10346953570842743,0.061000749468803406,0.11422774195671082,-0.02703702077269554,-0.003430920420214534,0.14445146918296814,0.0031379987485706806,-0.06664766371250153,-0.04396677017211914,-0.00949547067284584,0.01132416445761919,-0.05174119770526886,0.034439150243997574,-0.027172137051820755,0.8167157769203186,0.09912966191768646,0.03906361758708954,-0.008420642465353012,0.006604550871998072,0.2581157088279724,0.17575252056121826,-0.049694351851940155,0.10756632685661316,-0.008535724133253098,-0.024165596812963486,0.020546576008200645,-0.040072910487651825,0.0029228688217699528,0.07819892466068268,-0.002667002147063613,-0.2694632112979889,-0.032778941094875336,-0.06430314481258392,-0.09419836103916168,0.04814743995666504,-0.13378892838954926
H-,-0.5176994800567627,-0.044441401958465576,-0.4432505965232849,0.22910578548908234,0.08633630722761154,-0.254924476146698,0.13846391439437866,-0.06310347467660904,-0.005008820444345474,-0.02282906323671341,0.08162436634302139,0.04757072404026985,0.2812409996986389,0.01245374046266079,-0.4289925694465637,0.006379389204084873,0.1583995521068573,-0.08026231080293655,0.06299873441457748,-0.05426475778222084,-0.1814594566822052,-0.025653209537267685,0.20079028606414795,-0.3675912618637085,-0.039052851498126984,-0.12474123388528824,0.10539509356021881,0.30126163363456726,-0.18198083341121674,-0.863534152507782,-0.1995740383863449,-0.036341600120067596,0.012931321747601032,0.24046465754508972,0.046223193407058716,-0.07904577255249023,0.1145441085100174,0.031828295439481735,0.14678604900836945,0.1445624679327011,-0.032992683351039886,0.07016555219888687,-0.10782716423273087,0.008937720209360123,-0.059736110270023346,-0.7713179588317871,0.15237551927566528,0.5925230979919434,0.07401840388774872,-0.003152294550091028,-0.06757232546806335,0.05105336010456085,0.15238672494888306,0.10884924978017807,-0.013896050862967968,-0.2324855774641037,-0.07389835268259048,-0.4006608724594116,0.6756182909011841,0.04668763652443886,-0.1862185150384903,-0.0048246863298118114,-0.033384837210178375,-0.1113719716668129,0.029145611450076103,-0.4357970058917999,-0.021554552018642426,-0.19902363419532776,-0.1365705132484436,0.11027272045612335,0.06621817499399185,0.027269944548606873,0.015409803949296474,-0.0950360894203186,-0.0010896712774410844,-0.17361560463905334,0.0779063031077385,0.1384434998035431,-0.03185329586267471,0.1712569147348404,0.004895654506981373,-0.10084456205368042,0.05678657442331314,0.308930367231369,1.360788345336914,0.029567275196313858,-0.8953915238380432,0.0942758172750473,-0.08447200059890747,0.06606284528970718,-0.10730651021003723,-0.13925154507160187,-0.03718238323926926,-0.17298799753189087,0.0718822255730629,0.04699740186333656,-0.10522085428237915,0.012791022658348083,0.03222189471125603,-0.034940946847200394
H0+,-0.3448989987373352,0.03414898365736008,-0.3288339674472809,0.22098156809806824,0.3118631839752197,1.057198405265808,0.12736818194389343,0.03886623680591583,0.012109348550438881,0.11868983507156372,-0.017562471330165863,-0.11254876106977463,-0.4125506281852722,0.009698916226625443,-0.6134916543960571,0.053066905587911606,0.09590571373701096,-0.2606716752052307,-0.04599807411432266,-0.004086283966898918,-0.3202662467956543,0.02330159768462181,0.16297326982021332,-0.5107215642929077,0.009890761226415634,-0.12916043400764465,-0.5260269641876221,0.1083349734544754,-0.23643091320991516,-1.0980571508407593,-0.06221150979399681,-0.018414996564388275,-0.07384573668241501,-0.030528884381055832,0.16414117813110352,0.08973510563373566,0.07153307646512985,-0.01151320617645979,-0.031614307314157486,1.6184310913085938,0.09387525171041489,0.22558830678462982,-0.03377755731344223,0.0762835368514061,-0.060645971447229385,2.209583044052124,0.001690615783445537,1.3717819452285767,0.4384503960609436,0.04034266248345375,-0.05613045394420624,-0.04183784872293472,0.10060927271842957,-0.11459068208932877,0.06995033472776413,0.18643954396247864,-0.1546899676322937,-0.6968150734901428,-0.48358258605003357,-0.05542539060115814,0.03780035302042961,-0.19459737837314606,0.08891148865222931,0.024487553164362907,-0.02782384119927883,0.716941237449646,-0.02599843218922615,-0.21844631433486938,-0.1801656037569046,0.3914225101470947,-0.2255868762731552,0.1863498091697693,0.055112771689891815,0.03598630428314209,0.13852298259735107,0.018295999616384506,0.0878450870513916,0.12345129251480103,-0.032373543828725815,-0.1319856196641922,-0.03189392387866974,-0.08885737508535385,0.07402326911687851,-0.587209165096283,1.1647324562072754,-0.0917828306555748,0.20250080525875092,0.1404184103012085,0.19997866451740265,0.03829856961965561,0.023738855496048927,0.1603941172361374,-0.16305679082870483,-0.1465318202972412,0.5718243718147278,-0.03644159808754921,0.08361748605966568,0.211479052901268,0.07572939991950989,0.07377809286117554
Li+,-0.3915467858314514,0.07373404502868652,-0.6613048911094666,-0.0654500350356102,-0.11763555556535721,-0.5320114493370056,0.0762915387749672,0.04481087997555733,0.01995239034295082,0.03942354768514633,0.02335367538034916,0.04485715553164482,0.5858498811721802,0.031175408512353897,-1.5183115005493164,0.07844172418117523,-0.017914727330207825,-0.07089792937040329,-0.003480047918856144,-0.026507362723350525,-0.030348295345902443,0.054057493805885315,0.18091775476932526,-0.3344133496284485,0.0104205422103405,0.026030609384179115,-0.5401053428649902,0.046254709362983704,0.0494844987988472,0.11945842206478119,-0.08580002188682556,0.01852470263838768,0.04406532272696495,0.24134492874145508,-0.06183536723256111,-0.05605567991733551,-0.005469396710395813,0.00124065310228616,0.05126190185546875,0.2620853781700134,-0.01069384254515171,-0.02507627010345459,0.025313975289463997,-0.020190542563796043,0.013641411438584328,0.3083482086658478,-0.02632925659418106,-0.26814907789230347,0.23641669750213623,0.260783314704895,-0.05755885690450668,0.0787985697388649,0.17010360956192017,0.06666336953639984,0.03539441525936127,-0.12056861817836761,-0.017822954803705215,0.16392803192138672,-1.763430118560791,0.012795326299965382,0.04476341977715492,0.06218419596552849,-0.05146940052509308,-0.08051430433988571,0.020901339128613472,0.5623487830162048,-0.03177797049283981,-0.060818854719400406,0.0177791565656662,0.049628496170043945,0.12499846518039703,0.04196577146649361,0.006017802283167839,-0.04060356318950653,0.018370939418673515,-0.09002329409122467,0.009097431786358356,0.0594727024435997,-0.421220988035202,0.17419549822807312,-0.09710948914289474,-0.03955753147602081,0.03996679186820984,0.2215183973312378,0.0328989215195179,0.039589423686265945,0.46882468461990356,-0.08083375543355942,-0.02957642637193203,-0.021991083398461342,-0.05510789155960083,-0.05134112387895584,0.02120145782828331,-0.004378811921924353,0.15606406331062317,0.017600562423467636,-0.0772436112165451,0.006244616582989693,0.048017773777246475,-0.10723552852869034
Be2+,-0.5639631152153015,0.1230328157544136,0.08308060467243195,0.04542693495750427,0.4361732006072998,-0.8173542022705078,0.14382410049438477,-0.36119401454925537,0.21550394594669342,0.23724044859409332,-0.17377187311649323,0.2883651554584503,0.09850110113620758,-0.10762956738471985,-1.4453743696212769,-0.2808494567871094,0.1755765974521637,0.1127891093492508,0.055973079055547714,-0.06289981305599213,-0.41842663288116455,-0.20928895473480225,0.028000926598906517,-0.20380762219429016,-0.09906972199678421,-0.14412088692188263,-0.06557825207710266,0.6907970905303955,0.010994781740009785,0.12505297362804413,-0.05379243940114975,0.2904317080974579,0.16198942065238953,-0.6347870826721191,-0.3418824076652527,-0.08660692721605301,0.10607429593801498,-0.09454793483018875,0.30393990874290466,0.36004066467285156,-0.22758632898330688,0.08953653275966644,0.036757566034793854,-0.06150231137871742,-0.031044423580169678,0.7659233212471008,0.11985862255096436,0.8442294597625732,0.8230676054954529,-0.19958387315273285,-0.0600634329020977,-0.05648691579699516,0.7945975065231323,0.15267322957515717,-0.2986980080604553,-0.7396907806396484,-0.1255517601966858,-0.018747327849268913,-0.865035891532898,-4.867749521508813e-05,-1.1309876441955566,-0.14135320484638214,0.18965975940227509,-0.02362120896577835,-0.19484730064868927,0.10245100408792496,0.13461166620254517,-0.40935924649238586,-0.13754379749298096,-0.08402067422866821,0.12926901876926422,-0.08211096376180649,0.024287454783916473,-0.2914946377277374,0.11003439128398895,-0.31798264384269714,0.13124683499336243,0.04722808301448822,-1.2959920167922974,-0.07991992682218552,-0.07554713636636734,0.16710633039474487,-0.07413233816623688,0.343191921710968,0.6559325456619263,-0.22831134498119354,-0.8871259093284607,0.18674808740615845,-0.13634005188941956,0.03522795811295509,0.1281009018421173,-0.13792426884174347,-0.14945819973945618,0.45399051904678345,-0.3724590539932251,0.5591922998428345,-0.16021013259887695,-0.21060942113399506,-0.0028262953273952007,-0.09674065560102463
B+,-1.0094400644302368,-0.18775074183940887,-0.35037463903427124,-0.023284602910280228,0.13776157796382904,0.8383062481880188,-0.0767747238278389,-0.026277679949998856,-0.2867061197757721,0.2644570469856262,-0.039647091180086136,0.07573415338993073,0.6083255410194397,-0.13516725599765778,-0.772671639919281,0.21802663803100586,0.07002421468496323,0.13511911034584045,0.2487827092409134,0.02199770137667656,0.033062588423490524,-0.08360885828733444,0.8765554428100586,-0.31242501735687256,-0.11974653601646423,-0.14565834403038025,-0.398054301738739,0.7698794007301331,0.21667049825191498,0.2505989670753479,0.0987970381975174,-0.14448946714401245,0.040540192276239395,-1.7496062517166138,-0.06835325807332993,-0.36630675196647644,0.08579450100660324,-0.05729164555668831,0.11475427448749542,0.24010826647281647,-0.030861085280776024,0.05503464862704277,0.07652026414871216,0.07908374816179276,0.007734519429504871,-0.6090278029441833,-0.022034015506505966,-0.37175610661506653,1.110986590385437,0.06612125039100647,-0.08408335596323013,0.12314219772815704,0.3911854922771454,-0.21026210486888885,0.032232169061899185,-0.2791323959827423,-0.08977016061544418,0.05810994654893875,0.09052544087171555,-0.05693824961781502,-1.723857045173645,-0.05465078353881836,0.10189089179039001,0.43176037073135376,0.25894296169281006,0.24607275426387787,0.2038908451795578,-0.043859366327524185,0.13678982853889465,-0.01607069931924343,-0.3108194172382355,-0.16615664958953857,-0.12735959887504578,-0.16876383125782013,0.05986148864030838,-0.12040788680315018,0.31578904390335083,0.12772463262081146,-1.6788100004196167,-0.0826101303100586,-0.06305435299873352,0.12138666212558746,0.09623543918132782,-1.1245474815368652,-0.39039596915245056,-0.06635817885398865,-1.3864442110061646,-0.15377791225910187,-0.3124752342700958,0.012377891689538956,-0.024661334231495857,0.15942837297916412,-0.11493264138698578,0.8241506218910217,0.031097158789634705,-0.26659080386161804,-0.12681648135185242,-0.04182792454957962,0.13084368407726288,0.062315378338098526
B2+,-1.5263851881027222,0.3956524133682251,-0.45999202132225037,0.2974778115749359,-0.17493541538715363,0.3334158658981323,0.05279409512877464,-0.09456169605255127,-0.26148855686187744,0.18204936385154724,0.19201049208641052,0.23936890065670013,0.351480633020401,-0.46343719959259033,-0.7667408585548401,-0.29044392704963684,0.0843224972486496,0.22932831943035126,0.21766690909862518,-0.17155419290065765,-0.21692149341106415,0.14180923998355865,0.40834322571754456,-0.3918810486793518,-0.015098283998668194,-0.3272397220134735,-0.17725451290607452,1.1159459352493286,-0.012855631299316883,0.24769899249076843,0.20719516277313232,0.1529364138841629,0.12592196464538574,-0.5854068994522095,-0.18320736289024353,0.20504111051559448,-0.24583958089351654,0.1654646396636963,-0.12136535346508026,0.16332776844501495,-0.11811263859272003,0.09016941487789154,0.23126722872257233,-0.17829979956150055,0.06616364419460297,-0.08099520951509476,-0.03558370843529701,0.5252435207366943,1.2291327714920044,0.2961564362049103,0.19832909107208252,-0.15734681487083435,0.4116103947162628,0.05879146605730057,-0.14726334810256958,-1.0042734146118164,0.22422516345977783,-0.014241348952054977,-0.04638860374689102,0.09314345568418503,-2.191147804260254,0.08484730124473572,-0.09661345183849335,-0.012249549850821495,0.13832227885723114,-0.09873639792203903,0.234113410115242,-0.3135937750339508,-0.024828335270285606,-0.029008151963353157,0.0010290670907124877,-0.1163366362452507,0.04616488143801689,0.004777130670845509,-0.14101342856884003,0.15958712995052338,-0.04399390146136284,-0.2613564133644104,-2.1058146953582764,0.03511699661612511,0.21242298185825348,-0.19847777485847473,0.16962522268295288,0.1345129758119583,0.12710824608802795,-0.10368367284536362,-1.9103046655654907,0.08731843531131744,0.1133960708975792,0.03682772442698479,0.20842856168746948,-0.038126565515995026,0.15154880285263062,0.5323067903518677,-0.23904292285442352,-0.20881527662277222,-0.1264229118824005,-0.21221624314785004,0.14554500579833984,-0.03526431694626808
B2-,1.98544442653656,-0.01895553059875965,-0.41448095440864563,-0.01054204348474741,0.03210614621639252,0.4990154504776001,0.004598462954163551,-0.08045528084039688,0.06776159256696701,-0.0199478380382061,0.032269254326820374,-0.04643688350915909,-0.19971533119678497,0.04895104467868805,0.1922006756067276,0.03517547622323036,-0.12374993413686752,-0.11665308475494385,0.029393047094345093,-0.18617478013038635,-0.05287754535675049,-0.05682002753019333,0.19999156892299652,-0.16517728567123413,-0.031194958835840225,-0.05885327607393265,-0.13575465977191925,0.02451961115002632,-0.11340591311454773,-0.009308438748121262,0.017066560685634613,-0.002693120390176773,-0.05788544565439224,0.14261429011821747,-0.04845116287469864,-0.06664914637804031,0.004861528053879738,-0.1356920301914215,0.05907607823610306,-2.2860405445098877,0.15544375777244568,-0.11127427965402603,0.08571463823318481,0.17750924825668335,-0.1400877833366394,0.7064734101295471,-0.03990187123417854,0.44120827317237854,-0.10485994070768356,0.005686438642442226,-0.13749603927135468,0.060303181409835815,0.40218260884284973,-0.10308492928743362,0.07173258811235428,0.39673060178756714,0.02441227063536644,-0.06891296803951263,0.9365527629852295,0.07930361479520798,-0.08101868629455566,0.03917018696665764,0.15037725865840912,-0.07625474035739899,-0.030940452590584755,0.026548901572823524,0.1660052388906479,0.08654443174600601,0.1445532739162445,0.15833954513072968,0.013937219977378845,0.0786714032292366,0.026326235383749008,0.04000513628125191,-0.02735268697142601,0.023545648902654648,0.11237536370754242,0.11715123057365417,0.34014397859573364,-0.029095547273755074,-0.06881694495677948,0.03283326327800751,-0.09561312198638916,0.7312489151954651,0.09120392799377441,-0.23073501884937286,0.42002052068710327,0.06932426244020462,0.016049306839704514,0.02356463298201561,0.007362456992268562,-0.12566828727722168,-0.01849258504807949,0.23502308130264282,0.24087248742580414,-0.010197803378105164,0.030753450468182564,-0.010325056500732899,0.24760442972183228,0.026902059093117714
B3-,1.8211556673049927,-0.01199431624263525,-0.4118339717388153,0.12906108796596527,0.02567564696073532,0.11535599082708359,0.023701952770352364,-0.027825189754366875,0.02920091338455677,0.07433266937732697,-0.12042725086212158,0.04718345031142235,-0.1590612679719925,-0.0784665197134018,-0.04519647732377052,-0.04432040825486183,0.003744670422747731,-0.041445549577474594,-0.07865606993436813,-0.09547018259763718,-0.18906988203525543,-0.015517337247729301,0.17954722046852112,-0.31415534019470215,0.09793826937675476,0.018527915701270103,0.008925255388021469,0.28284183144569397,-0.07957606017589569,-0.15930788218975067,0.09228011220693588,0.06869319081306458,0.003193600568920374,-0.19531677663326263,0.10454856604337692,0.007694050669670105,0.05179658159613609,-0.09085947275161743,0.05177881941199303,0.10568106174468994,-0.04081110656261444,-0.080227792263031,0.005075985565781593,-0.0766073539853096,0.045485422015190125,2.0633463859558105,0.1065908670425415,0.22327853739261627,-0.40886130928993225,0.09460931271314621,-0.04496350139379501,0.07814882695674896,-0.09643212705850601,-0.06949374824762344,0.037837713956832886,0.20660217106342316,-0.05379253253340721,-0.23334434628486633,1.098291039466858,0.022627092897892,-0.3507903516292572,0.06645230948925018,0.0755191370844841,-0.05354242026805878,0.04865991696715355,0.28893131017684937,0.1423928141593933,-0.17723217606544495,0.019317565485835075,0.17316894233226776,0.07796406000852585,0.041399821639060974,0.07544352859258652,-0.11619436740875244,-0.021521860733628273,-0.005933046340942383,-0.011526988819241524,-0.04655298963189125,-0.26317688822746277,0.1065000370144844,-0.05801350995898247,-0.027125300839543343,-0.024907786399126053,0.32639646530151367,-0.4703297019004822,0.036114923655986786,-0.06232756748795509,0.08546914905309677,0.10027822852134705,-0.04026462137699127,0.0048222411423921585,-0.0033514676615595818,-0.053520455956459045,0.09653576463460922,0.33612439036369324,-0.054957062005996704,-0.0921865776181221,-0.054573334753513336,0.024021999910473824,0.061408426612615585
B3+,-1.239970088005066,0.08234996348619461,-0.08118472993373871,-0.08858179301023483,0.17641931772232056,0.8311663269996643,-0.10947484523057938,-0.01345088891685009,0.2400662899017334,0.05600520968437195,-0.0007502315565943718,0.2942797541618347,0.6723583936691284,-0.021777132526040077,-1.7869998216629028,0.11724281311035156,-0.030748365446925163,-0.2699998915195465,-0.03452775254845619,-0.055078111588954926,-0.10663043707609177,-0.041301265358924866,0.786257803440094,-0.5541013479232788,0.03474927693605423,0.0917571559548378,-0.12381581962108612,0.10954532772302628,-0.14463751018047333,0.17419175803661346,-0.11629419773817062,0.10524445027112961,-0.10760140419006348,1.3635534048080444,0.10293908417224884,-0.0852709487080574,-0.07759016752243042,0.15962210297584534,0.060411132872104645,0.7293323874473572,0.31420373916625977,-0.14121071994304657,-0.07236211746931076,0.07684788107872009,-0.30483049154281616,0.16229692101478577,-0.1538945585489273,0.24453096091747284,-0.2708085775375366,0.09137546271085739,0.08210616558790207,0.28167620301246643,0.543394923210144,-0.27724963426589966,-0.006086983717978001,0.1323995590209961,0.010555530898272991,0.32299861311912537,-0.9110093712806702,0.11231248080730438,-0.572504460811615,0.04517514631152153,0.10495714843273163,-0.052075013518333435,0.14216452836990356,-0.08760755509138107,-0.035145409405231476,0.19897378981113434,0.07023604959249496,0.06593438982963562,0.1321847289800644,0.0015554119599983096,0.03832634165883064,0.02672901377081871,0.09267457574605942,-0.2721923887729645,0.08051874488592148,-0.018256397917866707,-1.3678350448608398,0.08871433883905411,0.18105992674827576,-0.09787043929100037,0.17625591158866882,0.5493550300598145,0.14427825808525085,-0.1234811320900917,-0.7196380496025085,-0.059724289923906326,0.02737836353480816,-0.07226338237524033,0.0778198391199112,-0.13319754600524902,-0.06402330845594406,0.4873061776161194,0.27793240547180176,-0.04875689372420311,-0.07273753732442856,-0.2938516139984131,-0.044842056930065155,-0.0836576521396637
