species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
H+,-0.10820652544498444,-0.025990333408117294,-0.05684521049261093,-0.052341070026159286,-0.01962232030928135,-0.0476226769387722,-1.066319227218628,0.030414899811148643,0.007372652180492878,-0.2995350658893585,-0.02530829980969429,0.06765434145927429,0.019948428496718407,-0.4848361909389496,-0.029634134843945503,0.01676974445581436,-0.04909725487232208,-0.07150082290172577,-0.035675499588251114,-0.18975408375263214,-0.06020517274737358,0.006084621883928776,0.22692976891994476,3.0136756896972656,0.20846813917160034,-0.12132417410612106,0.12520812451839447,-0.03008834458887577,-0.013299800455570221,0.0809423103928566,0.07436716556549072,0.13688574731349945,0.0829223170876503,0.04804278537631035,-0.09442796558141708,-0.054090309888124466,0.019726350903511047,-0.22813163697719574,0.5147924423217773,-0.011561253108084202,-0.004959612153470516,-0.08609377592802048,-0.2677311599254608,0.12838125228881836,0.0032465080730617046,-0.0822092816233635,-0.07289361953735352,-0.03236856311559677,-0.05792337656021118,-0.8260828852653503,-0.03945985808968544,-0.007787448354065418,0.22992369532585144,-0.044942278414964676,-0.3688707649707794,-0.049896229058504105,-0.25948551297187805,0.04918934404850006,-0.11036898195743561,-0.024852760136127472,-0.26716986298561096,0.6787289977073669,-0.21068228781223297,0.07960926741361618,0.007192691322416067,0.023868033662438393,-0.7411940097808838,-0.0057753450237214565,0.07799206674098969,0.44813060760498047,0.5790877342224121,-0.06269650161266327,-0.02299591898918152,-0.05277000367641449,-0.01347893662750721,0.051867179572582245,-0.5553646087646484,0.5028418302536011,0.46110621094703674,0.17506010830402374,0.04224783554673195,0.10952245444059372,-0.006449316628277302,-0.0660448893904686,0.07779517769813538,0.03598431497812271
H-,-0.013896588236093521,0.12446955591440201,0.061652377247810364,-0.03261454775929451,-0.00044994871132075787,0.022431906312704086,-0.1440230906009674,0.024769989773631096,0.05599115416407585,-0.552826464176178,0.027087010443210602,0.03456658869981766,-0.03325146809220314,-0.18037080764770508,-0.07824157178401947,0.08236608654260635,-0.07781752943992615,0.08568621426820755,0.4221735894680023,1.058255910873413,-0.028164155781269073,0.0065037524327635765,0.2584340572357178,0.20994412899017334,-0.14944502711296082,0.01686355285346508,-0.06279662996530533,-0.038923874497413635,-0.1012711301445961,-0.008472094312310219,0.04366852343082428,-0.3487705886363983,2.2130319848656654e-05,-0.08141841739416122,-0.11846370995044708,-0.0037909578531980515,0.03002740442752838,-0.11881300806999207,1.2782795429229736,-0.1634541004896164,0.047401346266269684,-0.08841238170862198,-0.14596126973628998,0.14318323135375977,0.1780843436717987,-0.039851292967796326,0.017899181693792343,-0.048288628458976746,0.036361195147037506,-0.9596942663192749,-0.013384165242314339,0.10935135185718536,1.6262893676757812,0.03154411539435387,-0.2997255027294159,-0.06029773876070976,-0.15975788235664368,-0.0606352873146534,-0.07026837021112442,0.018875665962696075,-0.12171834707260132,0.8837156295776367,-0.08432108163833618,-0.25222915410995483,-0.12242811173200607,0.04447309300303459,-0.04081003740429878,0.045367419719696045,0.12262436002492905,0.508602499961853,-0.16502165794372559,-0.09132667630910873,0.07846777141094208,-0.010058462619781494,0.3035566508769989,0.08884483575820923,-0.5598116517066956,0.5068709850311279,-0.12586107850074768,0.08825140446424484,0.08646982163190842,0.14649516344070435,0.01179921068251133,-0.11506324261426926,-0.01599714159965515,0.012105983681976795
H0+,-0.1662990152835846,0.015268362127244473,-0.03122061863541603,0.07746478170156479,0.05257071182131767,-0.02983928471803665,-0.8221257328987122,0.19763556122779846,-1.1667412519454956,-0.5065389275550842,0.037646062672138214,0.08146891742944717,-0.05960453674197197,0.153690367937088,-0.024302883073687553,-0.17429503798484802,-0.16166751086711884,-0.1085912436246872,-0.02062024176120758,-0.23251473903656006,0.4213434159755707,0.007604103535413742,1.530508041381836,0.7326540350914001,-1.6226401329040527,-0.1289433240890503,-0.19151589274406433,-0.0030957364942878485,0.14266054332256317,-0.029959551990032196,-0.02601286582648754,-1.0269553661346436,0.008619306609034538,-0.05665787309408188,0.015169138088822365,0.10119559615850449,0.02515636570751667,0.8181840181350708,0.1662483662366867,-0.05135658010840416,0.19903284311294556,-0.18593157827854156,-0.22032026946544647,0.043591711670160294,-0.11011786758899689,0.045294780284166336,0.11245348304510117,0.034800633788108826,-0.01930052787065506,0.07469441741704941,-0.08186329156160355,0.18886220455169678,0.10696686059236526,-0.07526586204767227,-0.4619069993495941,0.12110000103712082,-0.29446354508399963,-0.038356781005859375,-0.10239122062921524,-0.027655020356178284,2.241004467010498,0.8733718991279602,-0.1414557695388794,1.0272016525268555,0.004315786994993687,0.037907879799604416,0.4953303039073944,0.035310838371515274,-0.2931046783924103,0.29812100529670715,-0.014270415529608727,0.0887879729270935,-0.10536615550518036,0.06279469281435013,0.636368989944458,0.07716009020805359,-0.6814886927604675,0.5729666948318481,-0.0034165047109127045,0.419097900390625,0.11262477189302444,0.43546363711357117,-0.04886247590184212,0.20035047829151154,0.006984555162489414,-0.046981826424598694
Li+,0.02918998897075653,-0.07992031425237656,-0.045281995087862015,-0.05342016741633415,0.0057028657756745815,-0.13915874063968658,-0.2219163179397583,0.0560346320271492,0.0636894628405571,-0.6385903358459473,-0.05085698887705803,0.08561873435974121,-0.10215859860181808,-0.11338309198617935,0.03630269691348076,0.0614369697868824,-0.040290988981723785,-0.015123110264539719,0.36167797446250916,-0.24926058948040009,-0.058106955140829086,0.06889058649539948,0.284797728061676,1.480902075767517,-0.7300236225128174,0.0763787254691124,0.12325301021337509,0.18067052960395813,-0.09611931443214417,-0.05431734398007393,-0.08250638097524643,0.1064710021018982,-0.08872685581445694,0.04792698100209236,-0.1377234309911728,-0.016292981803417206,0.042429979890584946,0.24742750823497772,-0.05624574422836304,0.03420222923159599,0.10114268213510513,-0.2056082785129547,-0.10271978378295898,0.19532522559165955,-0.02519632875919342,0.017127305269241333,-0.08262752741575241,0.08573128283023834,-0.07973693311214447,1.2525984048843384,-0.012999575585126877,-0.015089310705661774,0.23336747288703918,0.015063841827213764,-0.005440611857920885,0.07594853639602661,-0.03390941023826599,-0.020988531410694122,-0.03502894565463066,0.025689290836453438,-0.21025514602661133,0.5633599162101746,0.21071410179138184,-0.6401758790016174,-0.023127833381295204,0.05664316564798355,1.1098840236663818,-0.07673922926187515,-0.08886918425559998,0.9528322219848633,0.3242327868938446,-0.032669391483068466,0.011395847424864769,-0.08976082503795624,0.6496307253837585,-0.13822685182094574,-0.595416247844696,-0.18824675679206848,-0.055847812443971634,0.24150584638118744,0.20019203424453735,-0.36324605345726013,-0.08272507041692734,-0.1282995194196701,0.017391642555594444,-0.1518866866827011
Be2+,0.22916951775550842,0.32770341634750366,0.07565168291330338,0.26856544613838196,0.1061745211482048,0.049910515546798706,-0.5045897364616394,0.28737783432006836,0.20216144621372223,-0.10494435578584671,0.01579873263835907,0.09750611335039139,0.12784698605537415,-0.2900954782962799,0.2603759467601776,0.07916197925806046,-0.016951026394963264,0.3445999026298523,0.5067646503448486,0.652413547039032,0.3409726023674011,-0.11572202295064926,0.11501535028219223,1.3151655197143555,-0.5428068041801453,-0.4848595857620239,0.5677905678749084,0.2540017068386078,0.15521936118602753,0.24568819999694824,0.13530850410461426,-0.20060370862483978,0.26715749502182007,0.023015283048152924,-0.3248540461063385,-0.3341827988624573,-0.20020531117916107,0.3439312279224396,-0.057677339762449265,-0.036684952676296234,0.01706804148852825,0.043730467557907104,-0.015614609234035015,0.11626986414194107,0.20819209516048431,-0.11360100656747818,-0.3037474453449249,0.14256639778614044,-0.2140449732542038,0.9406239986419678,-0.030071644112467766,0.2306019812822342,0.2633979916572571,0.1233503669500351,-0.10552322864532471,0.01880928874015808,-0.02839665301144123,-0.09843265265226364,-0.260047048330307,-0.5109328031539917,0.5421924591064453,1.1800422668457031,-0.7114297151565552,-0.08756043016910553,0.2457808256149292,0.14596085250377655,0.22234906256198883,-0.04445336014032364,0.3002709448337555,0.7132593989372253,0.612179696559906,0.20165963470935822,0.29516246914863586,-0.18744255602359772,0.2509564757347107,0.06491286307573318,-0.25852715969085693,-1.3057050704956055,-0.9632825255393982,0.4785725176334381,0.18438082933425903,0.9856628179550171,-0.1673431694507599,-0.07065943628549576,0.23412394523620605,0.14043045043945312
B+,0.060173336416482925,-0.2494722157716751,0.0205793809145689,0.1579221487045288,0.368422269821167,0.2248508185148239,-1.562082052230835,0.11921800673007965,0.4571196436882019,-0.6154012084007263,-0.01747136563062668,-0.18503396213054657,-0.425948828458786,-0.5189222097396851,-0.20368430018424988,0.051781632006168365,0.0856252983212471,-0.036194052547216415,-1.2227783203125,1.1669530868530273,-0.18971258401870728,-0.1226983368396759,-0.06592092663049698,0.16387058794498444,-0.43326660990715027,0.1026558130979538,1.4475737810134888,0.11552039533853531,0.14376547932624817,0.025709101930260658,0.05687332525849342,-0.16505268216133118,0.0448644757270813,0.22127662599086761,-0.06271479278802872,0.2581106722354889,-0.031000221148133278,1.1809240579605103,-0.3385045528411865,0.0426909402012825,-0.024310491979122162,-0.1472724974155426,-0.17093481123447418,-0.0011676212307065725,-0.2590249478816986,0.25240954756736755,-0.043062977492809296,-0.19227464497089386,-0.15556089580059052,0.643694281578064,-0.05519506707787514,-0.02189202420413494,0.23917728662490845,0.1693420708179474,-0.6735654473304749,0.24831703305244446,-0.5608482360839844,0.10839878767728806,0.12177108228206635,0.013475344516336918,-0.916307270526886,1.4479968547821045,0.45017576217651367,0.0428955964744091,0.0772557184100151,0.23512718081474304,-0.5335061550140381,-0.04424620047211647,0.4640645980834961,-0.28124141693115234,1.248557448387146,0.04761255905032158,0.16580085456371307,-0.1791449636220932,0.11850791424512863,0.04529431462287903,-0.5497727394104004,-0.9412336349487305,-1.7863863706588745,0.387826144695282,-0.1412685662508011,0.24596011638641357,0.14565952122211456,0.26427140831947327,0.011967100203037262,-0.16023032367229462
B2+,0.29448503255844116,0.04778767377138138,0.037859201431274414,0.26957258582115173,0.008500218391418457,0.07664456218481064,-1.0617434978485107,0.09217868745326996,0.28678110241889954,-0.9865978360176086,0.12553174793720245,-0.0436469167470932,0.16064907610416412,-0.34776705503463745,0.17394310235977173,0.10340477526187897,-0.04189859703183174,-0.03417319804430008,-0.34616896510124207,1.167527437210083,-0.16381029784679413,-0.20710772275924683,-0.5396537780761719,0.5365027785301208,-0.3970702886581421,0.13647183775901794,2.058664560317993,0.09119844436645508,-0.44396066665649414,0.10534828156232834,-0.2183423489332199,0.12108100205659866,-0.1646212339401245,-0.014045231975615025,0.04639003053307533,0.13761265575885773,-0.15265093743801117,0.5410257577896118,-0.1556793749332428,0.1335795819759369,0.12118395417928696,0.019489523023366928,-0.5173446536064148,-0.09168267995119095,-0.18565845489501953,0.12826232612133026,-0.17695459723472595,-0.1424024999141693,0.43882742524147034,0.4549082815647125,-0.25674131512641907,-0.15297579765319824,0.2437606155872345,-0.5772960186004639,-0.7567417025566101,-0.19297540187835693,-0.16208884119987488,-0.25120827555656433,-0.3334621787071228,0.13176965713500977,-0.2711274027824402,1.6135587692260742,-0.4948999583721161,-0.055853985249996185,-0.2919653356075287,0.05271552875638008,-0.43138793110847473,-0.119581438601017,0.3165925443172455,0.46221375465393066,1.5185102224349976,-0.19204750657081604,0.1768142282962799,0.010906764306128025,0.1903367042541504,0.19251194596290588,-0.41864922642707825,-0.8130943179130554,-1.7878122329711914,0.2967577874660492,0.3323875963687897,1.2948408126831055,0.1373487412929535,-0.3986232578754425,0.21682362258434296,-0.4102459251880646
B2-,0.005420141853392124,0.08060280978679657,-0.029224181547760963,-0.017814122140407562,0.033632971346378326,0.04157842695713043,0.11828771978616714,-0.09667912125587463,0.032039422541856766,-0.6425426602363586,-0.07410338521003723,0.03022553212940693,-0.14006125926971436,-0.4586847722530365,0.030963536351919174,0.06299176812171936,-0.06936940550804138,-0.012142100371420383,0.33149927854537964,-0.18376624584197998,-0.07265400886535645,-0.06276564300060272,0.238291934132576,-0.42127326130867004,0.08155827969312668,-0.015134875662624836,-0.05088141933083534,0.09445691853761673,0.02098873257637024,-0.02247839979827404,0.05336517468094826,-0.09692738205194473,0.01739337295293808,0.046536292880773544,-0.100972481071949,-0.03165072575211525,0.02628183923661709,-0.20313875377178192,-0.09220477193593979,0.044352997094392776,0.10544415563344955,0.011902645230293274,-0.1705324649810791,0.04316803812980652,0.02138790488243103,0.05994713306427002,-0.05900079384446144,0.015168044716119766,0.03253095597028732,-0.5542218685150146,-0.10026916861534119,0.06537554413080215,-0.027874916791915894,-0.12446362525224686,1.6119043827056885,0.06454593688249588,-0.34221622347831726,-0.007690320257097483,-0.18025270104408264,-0.023611191660165787,-0.20706671476364136,0.6804035305976868,-0.19319163262844086,-0.10008554905653,-0.04521459713578224,0.06769533455371857,-0.0727568045258522,0.0914178341627121,-0.08507534861564636,-2.7073333263397217,-0.3076493442058563,0.04594491049647331,0.04656212776899338,-0.257544606924057,0.23601888120174408,-0.017001239582896233,-0.3132942020893097,0.2216911017894745,0.9772510528564453,0.270189493894577,0.15413907170295715,-0.3499677777290344,-0.06221719831228256,0.026918955147266388,-0.054023679345846176,-0.054631732404232025
B3-,0.02330428548157215,0.015607951208949089,0.046155139803886414,0.012412636540830135,0.06703633815050125,-0.1400010883808136,0.13608749210834503,0.02126842737197876,0.05980434641242027,-0.47147849202156067,-0.07797354459762573,0.1479051262140274,-0.016152873635292053,0.23389998078346252,0.09329520165920258,-0.05970677733421326,-0.005561394151300192,0.06854654848575592,0.568619966506958,-0.19458968937397003,-0.10007194429636002,-0.18716371059417725,0.36785781383514404,-0.1288863569498062,0.027764208614826202,-0.047420382499694824,0.06970491260290146,0.07254608720541,-0.006912906654179096,-0.07914995402097702,0.17662867903709412,0.020541956648230553,-0.021028675138950348,0.0454244464635849,0.002971120411530137,0.11301945149898529,0.101341113448143,0.9965646862983704,-0.405945360660553,-0.03980139642953873,0.11781129986047745,-0.06403560191392899,-0.18023934960365295,-0.014425456523895264,-0.016523681581020355,-0.08483412116765976,-0.08615763485431671,0.01747538521885872,-0.06461675465106964,-0.9947509765625,-0.07035528123378754,0.06705281883478165,0.0016992267919704318,-0.014105495996773243,-0.05491601303219795,-0.12768743932247162,-0.2275928556919098,-0.010925845243036747,-0.17138098180294037,-0.1512341946363449,0.5689156651496887,0.7215941548347473,-0.13987548649311066,-0.3789048492908478,-0.0329672135412693,0.01360584981739521,0.5363227128982544,0.09928662329912186,0.08155767619609833,-2.1512839794158936,0.017458291724324226,0.022568099200725555,-0.047811225056648254,-0.14317308366298676,0.06109241768717766,-0.05178359895944595,-0.4838075339794159,0.5051627159118652,0.41915181279182434,0.4494357407093048,0.148389533162117,0.4917888343334198,-0.002697192132472992,-0.023916086181998253,0.0776364728808403,0.07252808660268784
B3+,0.3248600959777832,0.07838968187570572,0.041780609637498856,0.008896997198462486,-0.13989953696727753,0.1522551327943802,-1.2583893537521362,-0.0643925741314888,-0.5587047338485718,-0.5820767879486084,0.020650619640946388,-0.0012517661089077592,-0.047879043966531754,-0.42919859290122986,0.15854597091674805,-0.18847870826721191,-0.06284959614276886,0.134900763630867,0.10137083381414413,0.5487897992134094,0.13220803439617157,0.04375511407852173,0.3259138762950897,1.808870553970337,-0.02303343266248703,0.07799965143203735,0.7044501304626465,-0.03368734195828438,-0.04647152125835419,0.07241889089345932,0.08156199008226395,-0.11049305647611618,0.08780904114246368,0.10982629656791687,-0.23097634315490723,0.023537185043096542,0.19694402813911438,0.01075009722262621,-0.26207050681114197,-0.05404619127511978,0.14493399858474731,0.06225834786891937,-0.1422865092754364,0.05508776754140854,-0.16422206163406372,-0.04767434298992157,-0.12230470031499863,0.24861325323581696,-0.06661263853311539,1.0210307836532593,-0.153802752494812,-0.12018424272537231,0.4315169155597687,-0.0934169739484787,-0.4954030215740204,-0.018141765147447586,-0.4569287598133087,0.03837001323699951,-0.07413489371538162,-0.18072152137756348,-0.031165041029453278,1.024032711982727,-0.2205260843038559,-1.7328871488571167,-0.044515401124954224,0.026441439986228943,0.7140892744064331,-0.18953637778759003,0.2976001501083374,0.4862060844898224,0.8997527956962585,-0.029807791113853455,-0.12463924288749695,-0.005218592006713152,0.16026194393634796,-0.04283646494150162,-0.29612988233566284,1.3685057163238525,-0.8795497417449951,0.043614137917757034,-0.08796379715204239,0.2565259039402008,-0.29469773173332214,-0.018535085022449493,0.01693907380104065,-0.06020486354827881
