Species,Count
O2-,72637
Li+,18794
P5+,13163
Mg2+,12051
Na+,11087
F-,10835
S2-,8224
H+,7795
Si4+,7599
N3-,7406
Ba2+,6926
K+,6523
Ca2+,6492
Fe3+,6138
Mn3+,6069
Sr2+,5856
Cl-,5125
Mn2+,4945
Zn2+,4643
S6+,4551
Fe2+,4521
Co3+,4518
Cu2+,4499
Ti4+,4479
Se2-,4277
Al3+,4057
Mn4+,4035
La3+,3726
Rb+,3718
V4+,3641
Co2+,3500
Ni2+,3478
Cs+,3421
V3+,3295
Cu+,3261
B3+,3261
O-,3257
C4+,3206
Cr3+,3146
Nb5+,3074
Y3+,2913
V5+,2491
Bi3+,2489
Ag+,2414
Ga3+,2343
Br-,2328
Sn4+,2154
Ta5+,2150
Co4+,2132
W6+,2053
Te2-,2052
Ge4+,2004
Zr4+,1967
I-,1966
In3+,1907
Cd2+,1811
Pb2+,1802
Nd3+,1692
Mo6+,1649
Ti3+,1632
Sb5+,1627
Ni3+,1627
Sb3+,1575
Sc3+,1444
Tl+,1418
Pr3+,1413
Si4-,1353
Hf4+,1325
Sm3+,1318
Cr2+,1214
Sn2+,1192
As5+,1189
As3-,1184
C2+,1156
V2+,1141
P3-,1094
Ce3+,1045
Eu2+,1039
Cr4+,1027
Sb3-,1014
Dy3+,1011
Mo3+,1002
Gd3+,992
H-,990
Er3+,937
C4-,930
Hg2+,928
Mo4+,895
Ho3+,893
Tb3+,872
Nb4+,825
Te4+,812
Fe4+,806
Yb3+,802
S-,778
C2-,767
Lu3+,743
Eu3+,734
Tm3+,696
Cu3+,686
P4+,681
Ce4+,674
W4+,673
Be2+,671
Se4+,651
N+,649
C3+,648
Ge4-,647
Te6+,636
Mo5+,621
U6+,619
W2+,615
W5+,608
U4+,597
W3+,591
Pd2+,587
Ni4+,563
Cr5+,543
Ti2+,540
Nb3+,539
Bi5+,529
Se-,525
Ni+,522
Sb2-,505
Cr6+,496
B3-,496
N-,491
As3+,481
Tl3+,458
N2-,458
N5+,456
Th4+,442
S4+,439
Yb2+,435
Co+,433
C+,431
N3+,416
Pt2-,398
Rh3+,391
C3-,388
La2+,384
Sn3+,380
Ge2-,379
Sm2+,375
B2-,373
Se6+,372
Hg+,357
In+,352
Ru5+,350
Nb2+,349
Ru4+,343
Mo2+,341
Te-,339
C-,328
Fe+,309
Nd2+,295
Ge2+,286
I5+,283
Au3+,277
Ta4+,276
Au+,271
Tb4+,268
Bi3-,266
Ir4+,264
Si-,263
As2-,262
Ru2+,261
Ta3+,260
N2+,260
Ag2+,260
S2+,247
B+,244
B-,239
Au-,236
Re7+,234
Bi2+,233
Zr3+,230
Re5+,228
Te+,222
Ru3+,218
U5+,217
Zr2+,215
P2-,210
In2+,210
U3+,207
Sb-,201
Si2-,199
As-,198
Ir3+,197
Pt4+,195
Re3+,189
S3+,189
Tc3-,188
P-,185
Re6+,182
Hf2+,180
Rh4+,173
Sc2+,172
Ag3+,171
Ce2+,169
Rh+,161
B2+,160
Tm2+,157
Pd3+,157
Pb4+,156
Pr2+,154
Pt2+,154
Ge3+,152
Pr4+,148
Tb2+,147
Ir5+,145
Dy2+,145
Sb4+,142
Cl7+,142
Si2+,140
Zr+,136
Ho2+,132
Re4+,128
Bi4+,125
P3+,124
Sc+,122
Nb+,118
Si3+,117
S5+,116
Bi+,115
Ga2+,114
Ta2+,113
Mn5+,110
Os2-,103
Te2+,99
Br5+,96
U2+,95
Ga+,94
Ta+,93
Au2+,92
Mn+,91
Pd4+,91
La+,83
I7+,80
Tb+,78
Os5+,78
Te5+,77
Pu3+,76
N0+,73
H0+,73
Mn7+,73
Se2+,72
C0+,71
Cl5+,69
As2+,67
Y+,67
P+,66
Pa5+,65
P2+,63
Hf3+,57
Os4+,56
Th3+,55
Os3+,55
Si0+,54
Os6+,53
I3+,53
Br3+,52
Gd2+,52
Br+,52
I+,50
Tc4+,49
Pu4+,49
Pm3+,48
Np4+,47
Se+,47
Np3+,43
Pt5+,42
Pt6+,42
Np6+,41
Au5+,40
Se5+,39
Ru6+,39
Ac3+,39
Ir6+,37
Cl3+,36
Fe5+,35
Y2+,33
Pa3+,33
B0+,32
Os-,32
S+,32
Np5+,30
Se3+,29
Np7+,28
Mn6+,27
Fe6+,27
Pu6+,27
Tc7+,26
Pt3+,26
Tc3+,25
Pt0+,24
Os8+,23
Pu5+,22
Os7+,22
Pb3+,21
Ga4+,21
Pa4+,20
Br2+,20
Os+,19
Pt-,18
N4+,17
S0+,16
Os2+,15
As+,15
Tc-,15
As4+,14
Br0+,13
Te0+,12
Tl2+,12
Tc6+,11
Se0+,9
Tc2+,9
Sb+,9
I2+,9
Re2+,8
Sb0+,8
Tc5+,8
Al2+,7
Nb7+,7
Tc2-,7
Pu7+,6
Au0+,6
I0+,5
Pt+,5
Tc+,4
Au4+,3
Os0+,3
P0+,2
Si3-,2
Tc0+,2
As0+,1
